column,dtype,non_null_count,missing_rate,coverage_pct,example_values,is_numeric,is_candidate_feature
DIBP_ugkg,float64,10,0.9996,0.04,2300.0,True,False
extraction_note,object,12,0.9996,0.04,"PAE concentrations are from the text (Fig. 4c, Table S3). DEHP and DEP values are the maxima for M (manure) from the ranges given (DEHP: 6506 µg/kg, DEP: 54.85 µg/kg). SumPAE is calculated as DEHP + DEP. Sampling depth is from Methods (0-15 cm). | PAE concentrations extracted from Table S3 (Supplementary) which is not provided in the text. Values are estimated from the mean ± SD ranges given in the text: overall mean for M = 6351 ± 110 µg/kg, DEHP mean = 6300, DEP mean = 50. Individual site values from Table S3 are not available in the extracted text; these are placeholders based on overall ranges. | Mean of 6 replicates; all concentrations below detection limit.",False,False
PCDD/Fs_pg_TEQ_g,float64,0,1.0,0.0,,True,False
SOC_pct,float64,1,1.0,0.0,0.93,True,False
NO3_N_mgkg,float64,1,1.0,0.0,2.35,True,False
Fe_gkg,float64,1,1.0,0.0,0.93,True,False
o_p_DDE_ngg,float64,5,0.9998,0.02,0.0504,True,False
o_p_DDD_ngg,float64,5,0.9998,0.02,0.00991,True,False
extraction_notes_row,object,1,1.0,0.0,"SoilpH value 98.4 is invalid (>14), so omitted.",False,False
ExtractionNote_AP,float64,0,1.0,0.0,,True,False
ExtractionNote_DTPA_Cd,float64,0,1.0,0.0,,True,False
WaterContent_pct,float64,6,0.9998,0.02,18.97 | 13.8 | 15.28,True,False
TK_gkg,float64,3,0.9999,0.01,12.3 | 12.6 | 18.3,True,False
