sample_id,x_measured_As_mgkg,x_measured_BaP_ngg,x_measured_CTC_ngg,x_measured_Cd_mgkg,x_measured_Cr_mgkg,x_measured_Cu_mgkg,x_measured_DIF_ngg,x_measured_ENRO_ngg,x_measured_Hg_mgkg,x_measured_Ni_mgkg,x_measured_OCP_total_ngg,x_measured_OTC_ngg,x_measured_Pb_mgkg,x_measured_SDZ_ngg,x_measured_SMP_ngg,x_measured_SMZ_ngg,x_measured_SumDDT_ngg,x_measured_SumHCH_ngg,x_measured_SumPBDE_ngg,x_measured_SumPCB_ngg,x_measured_Sum_PAH_ngg,x_measured_TC_ngg,x_measured_Zn_mgkg,source_id,paper_id,matrix,site_type,province,n_hm,n_op,site_mean_pending_auth,site_mean_note,pah_fraction_note
P10991_BG2-2,,,,1.9,,323.0,,,,,,,0.7,,,,,,6198.0,71.0,2612.0,,169.0,P10991,P10991,sediment,e_waste,Guangdong,4,3,False,,
P10991_BG2-3,,,,2.3,,424.0,,,,,,,0.7,,,,,,1561.0,133.0,802.0,,150.0,P10991,P10991,sediment,e_waste,Guangdong,4,3,False,,
P10991_BG3-1,,,,0.6,,21.0,,,,,,,3.6,,,,,,3196.0,58.0,1261.0,,11.0,P10991,P10991,sediment,e_waste,Guangdong,4,3,False,,
P10991_BG3-2,,,,0.6,,24.0,,,,,,,5.0,,,,,,4255.0,42.0,1876.0,,19.0,P10991,P10991,sediment,e_waste,Guangdong,4,3,False,,
P10991_BG3-3,,,,0.6,,27.0,,,,,,,2.3,,,,,,4482.0,6.0,1339.0,,16.0,P10991,P10991,sediment,e_waste,Guangdong,4,3,False,,
P10991_BG4-1,,,,5.9,,690.0,,,,,,,1.2,,,,,,5265.0,29.0,2091.0,,306.0,P10991,P10991,sediment,e_waste,Guangdong,4,3,False,,
P10991_BG4-2,,,,6.3,,647.0,,,,,,,1.6,,,,,,10111.0,19.0,1275.0,,308.0,P10991,P10991,sediment,e_waste,Guangdong,4,3,False,,
P10991_NY1-1,,,,2.1,,175.0,,,,,,,0.8,,,,,,2562.0,102.0,1551.0,,150.0,P10991,P10991,sediment,e_waste,Guangdong,4,3,False,,
P10991_NY1-2,,,,2.9,,158.0,,,,,,,0.4,,,,,,2684.0,142.0,1375.0,,174.0,P10991,P10991,sediment,e_waste,Guangdong,4,3,False,,
P10991_NY1-3,,,,2.0,,234.0,,,,,,,0.5,,,,,,5925.0,123.0,2340.0,,131.0,P10991,P10991,sediment,e_waste,Guangdong,4,3,False,,
P10991_NY2-1,,,,4.1,,103.0,,,,,,,9.5,,,,,,3550.0,32.0,1381.0,,151.0,P10991,P10991,sediment,e_waste,Guangdong,4,3,False,,
P10991_NY2-2,,,,5.0,,181.0,,,,,,,6.1,,,,,,2942.0,29.0,1612.0,,179.0,P10991,P10991,sediment,e_waste,Guangdong,4,3,False,,
P10991_NY2-3,,,,5.3,,223.0,,,,,,,8.8,,,,,,5597.0,22.0,1082.0,,155.0,P10991,P10991,sediment,e_waste,Guangdong,4,3,False,,
P10991_NY3-1,,,,0.2,,9.0,,,,,,,10.3,,,,,,2409.0,10.0,821.0,,3.0,P10991,P10991,sediment,e_waste,Guangdong,4,3,False,,
P10991_NY3-2,,,,0.2,,7.0,,,,,,,8.6,,,,,,2932.0,14.0,1136.0,,3.0,P10991,P10991,sediment,e_waste,Guangdong,4,3,False,,
P10991_NY4-1,,,,0.5,,12.0,,,,,,,19.5,,,,,,3098.0,29.0,1276.0,,36.0,P10991,P10991,sediment,e_waste,Guangdong,4,3,False,,
P10991_NY4-2,,,,0.5,,12.0,,,,,,,20.0,,,,,,2639.0,23.0,2098.0,,34.0,P10991,P10991,sediment,e_waste,Guangdong,4,3,False,,
P10991_NY4-3,,,,0.3,,7.0,,,,,,,14.6,,,,,,2426.0,9.0,995.0,,31.0,P10991,P10991,sediment,e_waste,Guangdong,4,3,False,,
P11365_Huludao_M1,,11200.0,,5.3,,,,,,,,,,,,,,,,,220240.0,,,P11365,P11365,soil,industrial,Liaoning,1,2,False,,
