paper_id,level,stem,md_exists,pdf_exists,table_lines,sep_lines,total_lines,n_figures,n_images_files,has_table,table_density
P00303,B,2021_Zhang T et al_Ecotoxicology_10.1007-s10646-020-02320-2,True,True,0,0,347,24,0,False,0.0
P00720,B,2018_Tian W et al_Nature_10.1007-s11356-021-15781-7,True,True,0,0,388,44,0,False,0.0
P01360,B,10.1016_j.envpol.2020.116038,True,True,0,0,376,29,0,False,0.0
P01364,B,10.1016_j.envpol.2021.116518,True,True,0,0,444,47,0,False,0.0
P01370,B,2021_Liu Q et al_EnvironPollut_10.1016-j.envpol.2021.117191,True,True,0,0,303,35,0,False,0.0
P01793,B,2021_Xie T et al_SciTotalEnviron_10.1016-j.scitotenv.2021.146263,True,True,0,0,46,2,0,False,0.0
P01795,B,10.1016_j.scitotenv.2021.146282,True,True,0,0,339,27,0,False,0.0
P02402,B,2021_Wang D et al_EnvironTechnol_10.1080-09593330.2021.1946163,True,True,0,0,326,38,0,False,0.0
P02763,B,2021_Zhao S et al_EnvironEngSci_10.1089-ees.2020.0416,True,True,0,0,269,20,0,False,0.0
P03279,B,2013_赵颖_环境科学_10.16258-j.cnki.1674-5906.2013.07.022,True,True,0,0,192,18,0,False,0.0
P03319,B,2021_车凯_环境科学_10.19672-j.cnki.1003-6504.2021.S1.019_1,True,True,0,0,184,17,0,False,0.0
P04359,B,2021_Wang X et al_Science_10.3390-microorganisms9071417,True,True,0,0,282,48,0,False,0.0
P04376,B,2021_Yin H et al_Molecules_10.3390-molecules26082169,True,True,0,0,437,24,0,False,0.0
P08528,B,2021_Qiao P et al_EnvironPollut_null,True,True,0,0,444,47,0,False,0.0
P08598,B,2021_Xie T et al_SciTotalEnviron_null,True,True,0,0,485,26,0,False,0.0
P11292,B,2021_卢晓丽_Unknown_null,True,True,0,0,1002,115,0,False,0.0
P11294,B,2021_李敏_Unknown_null,True,True,0,0,1270,89,0,False,0.0
P11447,B,2023_毛_Unknown_null,True,True,0,0,1310,162,0,False,0.0
P00036,B,10.1002_ldr.3857,True,True,0,0,330,35,0,False,0.0
P00707,B,2020_Liu X et al_EnvironSciPollutRes_10.1007-s11356-020-09934-3,True,True,0,0,240,22,0,False,0.0
P01223,B,2020_Lietal_EcotoxicolEnvironSaf_10.1016-j.ecoenv.2020.111083,True,True,0,0,288,37,0,False,0.0
P01272,B,10.1016_j.envint.2019.105421,True,True,0,0,403,33,0,False,0.0
P01348,B,10.1016_j.envpol.2020.114612,True,True,0,0,251,36,0,False,0.0
P01770,B,2020_Li W et al_SciTotalEnviron_10.1016-j.scitotenv.2020.139745,True,True,0,0,442,19,0,False,0.0
P03858,B,2020_Heetal_Agriculture_10.3390-agriculture10020047,True,True,0,0,224,22,0,False,0.0
P04524,B,10_3390_su12176804,True,True,0,0,312,27,0,False,0.0
P08155,B,2020_He H et al_Agriculture_null,True,True,0,0,224,22,0,False,0.0
P08640,B,2022_Ali M_EnvironPollut_null,True,True,0,0,30,1,0,False,0.0
P11155,B,2020_Shi J et al_EcotoxicolEnvironSaf_null,True,True,0,0,236,14,0,False,0.0
P11182,B,2020_何明江_Land_null,True,True,0,0,1930,217,0,False,0.0
P01728,B,2019_Shen T et al_SciTotalEnviron_10.1016-j.scitotenv.2018.07.223,True,True,0,0,56,2,0,False,0.0
P01746,B,2019_Zeng S et al_SciTotalEnviron_10.1016-j.scitotenv.2019.05.291,True,True,0,0,468,35,0,False,0.0
P01962,B,2019_Ren J et al_EnvironSciTechnol_10.1021-acs.est.9b00698,True,True,0,0,340,42,0,False,0.0
P02497,B,2019_Environment HAJ_Sustainability_10.1080-15226514.2019.1612846,True,True,0,0,115,9,0,False,0.0
P02753,B,2019_Earth ICS_EnvironPollut_10.1088-1755-1315-384-1-012212,True,True,0,0,80,5,0,False,0.0
P03119,B,2020_陈建_环境科学_10.13671-j.hjkxxb.2020.0218_1,True,True,0,0,255,19,0,False,0.0
P03948,B,2019_Yang X et al_ApplSci_10.3390-app9071365,True,True,0,0,433,15,0,False,0.0
P04293,B,10_3390_ijms20092189,True,True,0,0,330,60,0,False,0.0
P00217,B,2013_Contamination BE_BullEnvironContamToxicol_10.1007-s00128-018-2330-8,True,True,0,0,148,21,0,False,0.0
P01127,B,2018_Wangetal_Chemosphere_10.1016-j.chemosphere.2018.06.177,True,True,0,0,402,28,0,False,0.0
P01211,B,2018_Liu X et al_EcotoxicolEnvironSaf_10.1016-j.ecoenv.2018.02.028,True,True,0,0,240,21,0,False,0.0
P01544,B,10.1016_j.jhazmat.2018.06.056,True,True,0,0,350,36,0,False,0.0
P01715,B,2018_Zhu X et al_SciTotalEnviron_10.1016-j.scitotenv.2017.11.159,True,True,0,0,43,2,0,False,0.0
P02495,B,2018_Jeelani N et al_Land_10.1080-15226514.2018.1425666,True,True,0,0,279,20,0,False,0.0
P03275,B,2016_韩文辉_环境科学_10.16258-j.cnki.1674-5906.2016.09.021,True,True,0,0,245,25,0,False,0.0
P03303,B,2018_Wan X et al_SoilWaterRes_10.17221-211-2017-SWR_3,True,True,0,0,221,18,0,False,0.0
P04074,B,2018_Lv D et al_EnvironRes_10.3390-ijerph15040698,True,True,0,0,200,32,0,False,0.0
P04085,B,2018_Metals_EnvironRes_10.3390-ijerph15081731,True,True,0,0,181,26,0,False,0.0
P10994,B,2018_Liu X et al_EcotoxicolEnvironSaf_null,True,True,0,0,27,1,0,False,0.0
P11136,B,2020_Li Q et al_EcotoxicolEnvironSaf_null,True,True,0,0,288,37,0,False,0.0
P11293,B,2021_土壤中_土壤_null,True,True,0,0,1245,116,0,False,0.0
P00764,B,2017_Wang Y et al_JSoilsSediments_10.1007-s11368-017-1762-9,True,True,0,0,302,29,0,False,0.0
P01102,B,10.1016_j.chemosphere.2016.12.047,True,True,0,0,525,29,0,False,0.0
