sample_id,x_measured_As_mgkg,x_measured_BaP_ngg,x_measured_CTC_ngg,x_measured_Cd_mgkg,x_measured_Cr_mgkg,x_measured_Cu_mgkg,x_measured_DBP_ngg,x_measured_DEHP_ngg,x_measured_DEP_ngg,x_measured_DiBP_ngg,x_measured_ENRO_ngg,x_measured_Endosulfan_ngg,x_measured_Hg_mgkg,x_measured_Ni_mgkg,x_measured_OTC_ngg,x_measured_Pb_mgkg,x_measured_SDZ_ngg,x_measured_SMZ_ngg,x_measured_SumDDT_ngg,x_measured_SumHCH_ngg,x_measured_SumPAE_ngg,x_measured_SumPBDE_ngg,x_measured_SumPCB_ngg,x_measured_Sum_PAH_ngg,x_measured_Zn_mgkg,source_id,paper_id,matrix,site_type,province,n_hm,n_op,site_mean_pending_auth,site_mean_note,pah_fraction_note
P02763_S11,,,,,,,,,,,,,,,,,,,,,,,,799410.0,,P02763,P02763,soil,coking,Beijing,0,1,False,,
P02763_S12,,,,,,,,,,,,,,,,,,,,,,,,1053900.0,,P02763,P02763,soil,coking,Beijing,0,1,False,,
P02763_S13,,,,,,,,,,,,,,,,,,,,,,,,492620.0,,P02763,P02763,soil,coking,Beijing,0,1,False,,
P02763_S14,,,,,,,,,,,,,,,,,,,,,,,,139890.0,,P02763,P02763,soil,coking,Beijing,0,1,False,,
P02763_S15,,,,,,,,,,,,,,,,,,,,,,,,132400.0,,P02763,P02763,soil,coking,Beijing,0,1,False,,
P02763_S16,,,,,,,,,,,,,,,,,,,,,,,,51520.0,,P02763,P02763,soil,coking,Beijing,0,1,False,,
P02763_S17,,,,,,,,,,,,,,,,,,,,,,,,357630.0,,P02763,P02763,soil,coking,Beijing,0,1,False,,
P02763_S18,,,,,,,,,,,,,,,,,,,,,,,,175580.0,,P02763,P02763,soil,coking,Beijing,0,1,False,,
P02763_S19,,,,,,,,,,,,,,,,,,,,,,,,114300.0,,P02763,P02763,soil,coking,Beijing,0,1,False,,
P02763_S20,,,,,,,,,,,,,,,,,,,,,,,,11690.0,,P02763,P02763,soil,coking,Beijing,0,1,False,,
P02763_S3,,,,,,,,,,,,,,,,,,,,,,,,327590.0,,P02763,P02763,soil,coking,Beijing,0,1,False,,
P02763_S4,,,,,,,,,,,,,,,,,,,,,,,,394860.0,,P02763,P02763,soil,coking,Beijing,0,1,False,,
P02763_S5,,,,,,,,,,,,,,,,,,,,,,,,190220.0,,P02763,P02763,soil,coking,Beijing,0,1,False,,
P02763_S6,,,,,,,,,,,,,,,,,,,,,,,,2062320.0,,P02763,P02763,soil,coking,Beijing,0,1,False,,
P02763_S7,,,,,,,,,,,,,,,,,,,,,,,,96570.0,,P02763,P02763,soil,coking,Beijing,0,1,False,,
P02763_S8,,,,,,,,,,,,,,,,,,,,,,,,47170.0,,P02763,P02763,soil,coking,Beijing,0,1,False,,
P02763_S9,,,,,,,,,,,,,,,,,,,,,,,,1207000.0,,P02763,P02763,soil,coking,Beijing,0,1,False,,
P02957_S1,6.11,,,0.37,51.0,48.0,,,,,,,0.052,22.0,,93.0,,,,,,,,,90.0,P02957,P02957,soil,e_waste,Guangdong,8,0,False,,
P02957_S2,7.21,,,0.11,12.0,54.0,,,,,,,0.1,6.5,,62.0,,,,,,,,,67.0,P02957,P02957,soil,e_waste,Guangdong,8,0,False,,
P02957_S3,17.01,,,0.16,16.0,8.4,,,,,,,0.097,9.2,,18.0,,,,,,,,,69.0,P02957,P02957,soil,e_waste,Guangdong,8,0,False,,
