paper_id,level,stem,md_exists,n_html_tables,n_tr_rows,has_html_table,n_images,si_dir_exists,n_si_pdfs,total_md_lines,extract_strategy
P04376,B,2021_Yin H et al_Molecules_10.3390-molecules26082169,True,2,39,True,10,False,0,437,html_table
P08528,B,2021_Qiao P et al_EnvironPollut_null,True,1,9,True,31,False,0,444,html_table
P08598,B,2021_Xie T et al_SciTotalEnviron_null,True,5,59,True,23,False,0,485,html_table
P11292,B,2021_卢晓丽_Unknown_null,True,22,276,True,48,False,0,1002,html_table
P11294,B,2021_李敏_Unknown_null,True,8,62,True,58,False,0,1270,html_table
P11447,B,2023_毛_Unknown_null,True,32,278,True,107,False,0,1310,html_table
P00036,B,10.1002_ldr.3857,True,1,14,True,0,False,0,330,html_table
P00707,B,2020_Liu X et al_EnvironSciPollutRes_10.1007-s11356-020-09934-3,True,1,14,True,8,False,0,240,html_table
P01223,B,2020_Lietal_EcotoxicolEnvironSaf_10.1016-j.ecoenv.2020.111083,True,1,21,True,16,True,0,288,html_table
P01272,B,10.1016_j.envint.2019.105421,True,1,7,True,22,True,0,403,html_table
P01348,B,10.1016_j.envpol.2020.114612,True,3,42,True,15,True,0,251,html_table
P01770,B,2020_Li W et al_SciTotalEnviron_10.1016-j.scitotenv.2020.139745,True,3,121,True,7,False,0,442,html_table
P03858,B,2020_Heetal_Agriculture_10.3390-agriculture10020047,True,5,46,True,11,True,0,224,html_table
P04524,B,10_3390_su12176804,True,9,94,True,18,False,0,312,html_table
P08155,B,2020_He H et al_Agriculture_null,True,5,46,True,11,False,0,224,html_table
P08640,B,2022_Ali M_EnvironPollut_null,True,0,0,False,1,False,0,30,figure_only
P11155,B,2020_Shi J et al_EcotoxicolEnvironSaf_null,True,2,30,True,9,False,0,236,html_table
P11182,B,2020_何明江_Land_null,True,23,272,True,81,False,0,1930,html_table
P01728,B,2019_Shen T et al_SciTotalEnviron_10.1016-j.scitotenv.2018.07.223,True,0,0,False,2,False,0,56,figure_only
P01746,B,2019_Zeng S et al_SciTotalEnviron_10.1016-j.scitotenv.2019.05.291,True,3,36,True,23,False,0,468,html_table
P01962,B,2019_Ren J et al_EnvironSciTechnol_10.1021-acs.est.9b00698,True,1,14,True,20,False,0,340,html_table
P02497,B,2019_Environment HAJ_Sustainability_10.1080-15226514.2019.1612846,True,0,0,False,9,False,0,115,figure_only
P02753,B,2019_Earth ICS_EnvironPollut_10.1088-1755-1315-384-1-012212,True,3,17,True,3,False,0,80,html_table
P03119,B,2020_陈建_环境科学_10.13671-j.hjkxxb.2020.0218_1,True,2,14,True,16,False,0,255,html_table
P03948,B,2019_Yang X et al_ApplSci_10.3390-app9071365,True,8,86,True,9,False,0,433,html_table
P04293,B,10_3390_ijms20092189,True,2,23,True,13,False,0,330,html_table
P00217,B,2013_Contamination BE_BullEnvironContamToxicol_10.1007-s00128-018-2330-8,True,3,38,True,8,False,0,148,html_table
P01127,B,2018_Wangetal_Chemosphere_10.1016-j.chemosphere.2018.06.177,True,2,33,True,15,False,0,402,html_table
P01211,B,2018_Liu X et al_EcotoxicolEnvironSaf_10.1016-j.ecoenv.2018.02.028,True,2,10,True,8,False,0,240,html_table
P01544,B,10.1016_j.jhazmat.2018.06.056,True,0,0,False,2,True,0,350,figure_only
