DOI,Source,Latitude,Longitude,Province,Pollution_Type,SoilpH,pH,OC_pct,Sum_PAH_ngg,BaP_ngg,SumOCP_ngg,SumDDTs_ngg,SumPCB_ngg,SumHCHs_ngg,SumPAE_ugkg,SumPBDE_ngg,SumPFAS_ngg,TPH_ngg,HMWPAH_ngg,LMWPAH_ngg,标签_生产,标签_生态,标签,id_DOI,id_Source,split_source,is_synthetic
10.1038/srep17624,organic_v1.1_10.1038/srep17624,34.442577509492175,102.88845311019466,广东,OCP,,,,,,47.69,,,,,,,,,,0,0,0,10.1038/srep17624,organic_v1.1_10.1038/srep17624,real_model_ready,False
10.1038/srep17624,organic_v1.1_10.1038/srep17624,38.277405887556235,111.53573409188732,广东,OCP,,,,,,,68.5,,16.2,,,,,,,0,0,0,10.1038/srep17624,organic_v1.1_10.1038/srep17624,real_model_ready,False
10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,32.0403,117.2298,安徽,PAH,,,,268.73,,,,,,,,,,,,0,0,0,10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,real_model_ready,False
10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,37.3995,118.1028,河北,PAH,,,,149.8,,,,,,,,,,,,0,0,0,10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,real_model_ready,False
10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,26.5224,119.3824,福建,PAH,,,,406.0,,,,,,,,,,,,0,0,0,10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,real_model_ready,False
10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,34.1065,116.6232,河南,PAH,,,,174.0,,,,,,,,,,,,0,0,0,10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,real_model_ready,False
10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,34.0432,116.8404,安徽,PAH,,,,52.6,,,,,,,,,,,,0,0,0,10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,real_model_ready,False
10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,30.058,121.3582,浙江,PAH,,,,311.19,,,,,,,,,,,,0,0,0,10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,real_model_ready,False
10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,31.1149,121.603,上海,PAH,,,,928.16,,,,,,,,,,,,1,1,1,10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,real_model_ready,False
10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,37.3034,118.5427,河北,PAH,,,,36.08,,,,,,,,,,,,0,0,0,10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,real_model_ready,False
