paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
s00477-022-02299-8,s00477-022-02299-8_Sunflower_leaves,Phe_ngg,178.74,Unknown,table_p6_ri5_ci10,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Sunflower_root,Phe_ngg,152.8,Unknown,table_p6_ri5_ci11,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Onion,Ant_ngg,11.95,Unknown,table_p6_ri6_ci1,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Onion_root,Ant_ngg,13.31,Unknown,table_p6_ri6_ci2,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Cabbage,Ant_ngg,19.93,Unknown,table_p6_ri6_ci3,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Coriander,Ant_ngg,6.83,Unknown,table_p6_ri6_ci4,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Beans,Ant_ngg,9.46,Unknown,table_p6_ri6_ci5,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Spinach,Ant_ngg,9.37,Unknown,table_p6_ri6_ci6,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Celery,Ant_ngg,5.1,Unknown,table_p6_ri6_ci7,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Lettuce,Ant_ngg,11.97,Unknown,table_p6_ri6_ci8,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
s00477-022-02299-8,s00477-022-02299-8_Sunflower_fruit,Ant_ngg,3.48,Unknown,table_p6_ri6_ci9,soil,,,phase14_batch2; matrix=score=152:high; conf=high; flag=,,
