paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Tunnel,Ind_ngg,0.09,Unknown,table_p3_ri13_ci6,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Power_plant,BghiP_ngg,0.04,Unknown,table_p3_ri15_ci1,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Residential,BghiP_ngg,0.02,Unknown,table_p3_ri15_ci2,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Coke_oven,BghiP_ngg,0.07,Unknown,table_p3_ri15_ci3,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Gasoline,BghiP_ngg,0.14,Unknown,table_p3_ri15_ci4,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Diesel,BghiP_ngg,0.03,Unknown,table_p3_ri15_ci5,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Tunnel,BghiP_ngg,0.11,Unknown,table_p3_ri15_ci6,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Irrigation,BghiP_ngg,0.1,Unknown,table_p3_ri15_ci7,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Coefficient_of_determination,Phe_ngg,0.42,Unknown,table_p5_ri3_ci1,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Coefficient_of_determination,Ant_ngg,0.69,Unknown,table_p5_ri4_ci1,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Coefficient_of_determination,Pyr_ngg,0.58,Unknown,table_p5_ri6_ci1,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Coefficient_of_determination,BaA_ngg,0.8,Unknown,table_p5_ri7_ci1,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Coefficient_of_determination,Chr_ngg,0.8,Unknown,table_p5_ri7_ci1,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Coefficient_of_determination,BbF_ngg,0.27,Unknown,table_p5_ri8_ci1,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Coefficient_of_determination,BkF_ngg,0.72,Unknown,table_p5_ri9_ci1,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Coefficient_of_determination,BaP_ngg,0.72,Unknown,table_p5_ri10_ci1,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Coefficient_of_determination,Ind_ngg,0.02,Unknown,table_p5_ri11_ci1,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Coefficient_of_determination,DahA_ngg,0.32,Unknown,table_p5_ri12_ci1,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
j.scitotenv.2017.08.316,j.scitotenv.2017.08.316_Coefficient_of_determination,BghiP_ngg,0.75,Unknown,table_p5_ri13_ci1,soil,,,phase14_batch2; matrix=score=197:high; conf=high; flag=,,
