paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
toxics-14-00049,toxics-14-00049_Slight_(%),Mn_mgkg,100.0,Unknown,table_p10_ri8_ci4,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Slight_(%),Co_mgkg,100.0,Unknown,table_p10_ri9_ci4,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Slight_(%),Be_mgkg,100.0,Unknown,table_p10_ri11_ci4,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Ring_Content,BaA_ngg,4.0,Unknown,table_p12_ri1_ci1,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Max_(mg/kg),BaA_ngg,0.015,Unknown,table_p12_ri1_ci2,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Mean_(mg/kg),BaA_ngg,0.002,Unknown,table_p12_ri1_ci3,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Standard_Deviation,BaA_ngg,0.005,Unknown,table_p12_ri1_ci4,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Limit_of_Detection_(μg/kg),BaA_ngg,4.0,Unknown,table_p12_ri1_ci5,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Eco-SSLs_(μg/kg),BaA_ngg,15.0,Unknown,table_p12_ri1_ci7,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Ring_Content,BaP_ngg,5.0,Unknown,table_p12_ri2_ci1,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Max_(mg/kg),BaP_ngg,0.046,Unknown,table_p12_ri2_ci2,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Mean_(mg/kg),BaP_ngg,0.004,Unknown,table_p12_ri2_ci3,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Standard_Deviation,BaP_ngg,0.013,Unknown,table_p12_ri2_ci4,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Limit_of_Detection_(μg/kg),BaP_ngg,5.0,Unknown,table_p12_ri2_ci5,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Eco-SSLs_(μg/kg),BaP_ngg,1.5,Unknown,table_p12_ri2_ci7,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Ring_Content,BbF_ngg,5.0,Unknown,table_p12_ri3_ci1,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Max_(mg/kg),BbF_ngg,0.023,Unknown,table_p12_ri3_ci2,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Mean_(mg/kg),BbF_ngg,0.002,Unknown,table_p12_ri3_ci3,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Standard_Deviation,BbF_ngg,0.007,Unknown,table_p12_ri3_ci4,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Limit_of_Detection_(μg/kg),BbF_ngg,5.0,Unknown,table_p12_ri3_ci5,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Eco-SSLs_(μg/kg),BbF_ngg,15.0,Unknown,table_p12_ri3_ci7,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Ring_Content,BkF_ngg,5.0,Unknown,table_p12_ri4_ci1,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Max_(mg/kg),BkF_ngg,0.008,Unknown,table_p12_ri4_ci2,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Mean_(mg/kg),BkF_ngg,0.001,Unknown,table_p12_ri4_ci3,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Standard_Deviation,BkF_ngg,0.002,Unknown,table_p12_ri4_ci4,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Limit_of_Detection_(μg/kg),BkF_ngg,5.0,Unknown,table_p12_ri4_ci5,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Eco-SSLs_(μg/kg),BkF_ngg,151.0,Unknown,table_p12_ri4_ci7,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Ring_Content,Chr_ngg,4.0,Unknown,table_p12_ri5_ci1,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Max_(mg/kg),Chr_ngg,0.025,Unknown,table_p12_ri5_ci2,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Mean_(mg/kg),Chr_ngg,0.006,Unknown,table_p12_ri5_ci3,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Standard_Deviation,Chr_ngg,0.009,Unknown,table_p12_ri5_ci4,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Limit_of_Detection_(μg/kg),Chr_ngg,3.0,Unknown,table_p12_ri5_ci5,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Ring_Content,DahA_ngg,5.0,Unknown,table_p12_ri6_ci1,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Max_(mg/kg),DahA_ngg,0.118,Unknown,table_p12_ri6_ci2,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Mean_(mg/kg),DahA_ngg,0.015,Unknown,table_p12_ri6_ci3,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Standard_Deviation,DahA_ngg,0.035,Unknown,table_p12_ri6_ci4,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Limit_of_Detection_(μg/kg),DahA_ngg,5.0,Unknown,table_p12_ri6_ci5,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Eco-SSLs_(μg/kg),DahA_ngg,0.55,Unknown,table_p12_ri6_ci7,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Ring_Content,Nap_ngg,2.0,Unknown,table_p12_ri7_ci1,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Max_(mg/kg),Nap_ngg,0.022,Unknown,table_p12_ri7_ci2,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Mean_(mg/kg),Nap_ngg,0.005,Unknown,table_p12_ri7_ci3,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Standard_Deviation,Nap_ngg,0.008,Unknown,table_p12_ri7_ci4,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Limit_of_Detection_(μg/kg),Nap_ngg,3.0,Unknown,table_p12_ri7_ci5,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Eco-SSLs_(μg/kg),Nap_ngg,70.0,Unknown,table_p12_ri7_ci7,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Ring_Content,Acy_ngg,3.0,Unknown,table_p12_ri8_ci1,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Max_(mg/kg),Acy_ngg,0.039,Unknown,table_p12_ri8_ci2,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Mean_(mg/kg),Acy_ngg,0.006,Unknown,table_p12_ri8_ci3,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Standard_Deviation,Acy_ngg,0.014,Unknown,table_p12_ri8_ci4,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Limit_of_Detection_(μg/kg),Acy_ngg,5.0,Unknown,table_p12_ri8_ci5,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Eco-SSLs_(μg/kg),Acy_ngg,45000.0,Unknown,table_p12_ri8_ci7,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
toxics-14-00049,toxics-14-00049_Ring_Content,Flu_ngg,3.0,Unknown,table_p12_ri9_ci1,soil,,,phase14_batch2; matrix=score=149:high; conf=high; flag=,,
