paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_open_burning_site,Pyr_ngg,48.14,Unknown,table_p4_ri20_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_open_burning_site,Cd_mgkg,48.14,Unknown,table_p4_ri20_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_Agricultural,Phe_ngg,8.0,Unknown,table_p4_ri28_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_Agricultural,Ant_ngg,8.0,Unknown,table_p4_ri28_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_storage,Phe_ngg,9.1,Unknown,table_p4_ri28_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_storage,Ant_ngg,9.1,Unknown,table_p4_ri28_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_dismantling_workshop,Phe_ngg,1.4,Unknown,table_p4_ri28_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_dismantling_workshop,Ant_ngg,1.4,Unknown,table_p4_ri28_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_open_burning_site,Phe_ngg,5.5,Unknown,table_p4_ri28_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_open_burning_site,Ant_ngg,5.5,Unknown,table_p4_ri28_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_Agricultural,Pyr_ngg,1.2,Unknown,table_p4_ri29_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_storage,Pyr_ngg,1.1,Unknown,table_p4_ri29_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_dismantling_workshop,Pyr_ngg,1.1,Unknown,table_p4_ri29_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_open_burning_site,Pyr_ngg,1.7,Unknown,table_p4_ri29_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_Agricultural,SumPCB_ngg,0.329,Unknown,table_p6_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_storage,SumPCB_ngg,0.692,Unknown,table_p6_ri2_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_dismantling_workshop,SumPCB_ngg,1.34,Unknown,table_p6_ri2_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_open_burning_site,SumPCB_ngg,7.3,Unknown,table_p6_ri2_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_Agricultural,SumPCB_ngg,0.101,Unknown,table_p6_ri3_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_storage,SumPCB_ngg,0.236,Unknown,table_p6_ri3_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_dismantling_workshop,SumPCB_ngg,0.117,Unknown,table_p6_ri3_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_open_burning_site,SumPCB_ngg,7.8,Unknown,table_p6_ri3_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_Agricultural,SumPCB_ngg,0.045,Unknown,table_p6_ri4_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_storage,SumPCB_ngg,0.144,Unknown,table_p6_ri4_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_dismantling_workshop,SumPCB_ngg,0.209,Unknown,table_p6_ri4_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_open_burning_site,SumPCB_ngg,0.172,Unknown,table_p6_ri4_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_open_burning_site,SumPCB_ngg,0.053,Unknown,table_p6_ri5_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_Agricultural,SumPCB_ngg,0.152,Unknown,table_p6_ri6_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_storage,SumPCB_ngg,0.126,Unknown,table_p6_ri6_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_dismantling_workshop,SumPCB_ngg,0.592,Unknown,table_p6_ri6_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_open_burning_site,SumPCB_ngg,10.79,Unknown,table_p6_ri6_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_dismantling_workshop,SumPCB_ngg,0.298,Unknown,table_p6_ri7_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_open_burning_site,SumPCB_ngg,15.59,Unknown,table_p6_ri7_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_Agricultural,SumPCB_ngg,0.078,Unknown,table_p6_ri8_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_storage,SumPCB_ngg,0.177,Unknown,table_p6_ri8_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_dismantling_workshop,SumPCB_ngg,0.224,Unknown,table_p6_ri8_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_open_burning_site,SumPCB_ngg,0.545,Unknown,table_p6_ri8_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_Agricultural,SumPCB_ngg,0.209,Unknown,table_p6_ri9_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_storage,SumPCB_ngg,0.607,Unknown,table_p6_ri9_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_dismantling_workshop,SumPCB_ngg,0.974,Unknown,table_p6_ri9_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_open_burning_site,SumPCB_ngg,7.96,Unknown,table_p6_ri9_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_open_burning_site,SumPCB_ngg,0.106,Unknown,table_p6_ri10_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_Agricultural,SumPCB_ngg,0.116,Unknown,table_p6_ri11_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_storage,SumPCB_ngg,0.18,Unknown,table_p6_ri11_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_dismantling_workshop,SumPCB_ngg,0.338,Unknown,table_p6_ri11_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_open_burning_site,SumPCB_ngg,0.763,Unknown,table_p6_ri11_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_Agricultural,SumPCB_ngg,0.351,Unknown,table_p6_ri12_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_storage,SumPCB_ngg,0.995,Unknown,table_p6_ri12_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_dismantling_workshop,SumPCB_ngg,1.12,Unknown,table_p6_ri12_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_open_burning_site,SumPCB_ngg,13.55,Unknown,table_p6_ri12_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_Agricultural,SumPCB_ngg,0.283,Unknown,table_p6_ri13_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_storage,SumPCB_ngg,0.704,Unknown,table_p6_ri13_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_dismantling_workshop,SumPCB_ngg,0.919,Unknown,table_p6_ri13_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_open_burning_site,SumPCB_ngg,1.26,Unknown,table_p6_ri13_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_Agricultural,SumPCB_ngg,0.073,Unknown,table_p6_ri14_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_storage,SumPCB_ngg,0.088,Unknown,table_p6_ri14_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_dismantling_workshop,SumPCB_ngg,0.395,Unknown,table_p6_ri14_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_open_burning_site,SumPCB_ngg,3.55,Unknown,table_p6_ri14_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_Agricultural,SumPCB_ngg,0.129,Unknown,table_p6_ri15_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_storage,SumPCB_ngg,0.516,Unknown,table_p6_ri15_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_dismantling_workshop,SumPCB_ngg,0.393,Unknown,table_p6_ri15_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_open_burning_site,SumPCB_ngg,4.74,Unknown,table_p6_ri15_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_Agricultural,SumPCB_ngg,0.153,Unknown,table_p6_ri16_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_storage,SumPCB_ngg,0.187,Unknown,table_p6_ri16_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_dismantling_workshop,SumPCB_ngg,0.327,Unknown,table_p6_ri16_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_open_burning_site,SumPCB_ngg,0.566,Unknown,table_p6_ri16_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_Agricultural,SumPCB_ngg,0.054,Unknown,table_p6_ri17_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_storage,SumPCB_ngg,0.334,Unknown,table_p6_ri17_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_dismantling_workshop,SumPCB_ngg,0.659,Unknown,table_p6_ri17_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_open_burning_site,SumPCB_ngg,0.851,Unknown,table_p6_ri17_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_Agricultural,SumPCB_ngg,0.109,Unknown,table_p6_ri18_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_storage,SumPCB_ngg,0.138,Unknown,table_p6_ri18_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_dismantling_workshop,SumPCB_ngg,0.305,Unknown,table_p6_ri18_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_e-Waste_open_burning_site,SumPCB_ngg,0.156,Unknown,table_p6_ri18_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72131_s00244-010-9590-6,72131_s00244-010-9590-6_Agricultural,OC_pct,7.07,Unknown,table_p7_ri8_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
