paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
s41598-022-15285-5,s41598-022-15285-5_Composition_of_$\mathbf_{_C___{_P_A_H_}_<_E_R_L_}$_(%),Sum_PAH_ngg,47.06,Unknown,table_p5_ri13_ci4,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_Composition_of_$\mathbf_{_E_R_L_}_\leq_\mathbf_{_C_}___{_\mathrm_{_P_A_H_}_}_<_\mathbf_{_E_R_M_}_\_(_\%_)$,Sum_PAH_ngg,52.94,Unknown,table_p5_ri13_ci5,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_ERL,Sum_PAH_ngg,552.0,Unknown,table_p5_ri14_ci2,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_Composition_of_$\mathbf_{_C___{_P_A_H_}_<_E_R_L_}$_(%),Sum_PAH_ngg,31.37,Unknown,table_p5_ri14_ci4,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_Composition_of_$\mathbf_{_E_R_L_}_\leq_\mathbf_{_C_}___{_\mathrm_{_P_A_H_}_}_<_\mathbf_{_E_R_M_}_\_(_\%_)$,Sum_PAH_ngg,66.67,Unknown,table_p5_ri14_ci5,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_Composition_of_$\mathbf_{_\dot_{_C_}___{_P_A_H_}_}_2$_ERM(%),Sum_PAH_ngg,1.96,Unknown,table_p5_ri14_ci6,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_Composition_of_$\mathbf_{_C___{_P_A_H_}_<_E_R_L_}$_(%),Sum_PAH_ngg,21.57,Unknown,table_p5_ri15_ci4,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_Composition_of_$\mathbf_{_E_R_L_}_\leq_\mathbf_{_C_}___{_\mathrm_{_P_A_H_}_}_<_\mathbf_{_E_R_M_}_\_(_\%_)$,Sum_PAH_ngg,78.43,Unknown,table_p5_ri15_ci5,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_$\mathbf_{_T_E_Q_}___{_\mathrm_{_B_a_P_}_}_(_\mathbf_{_n_g_}_\mathbf_{_g_}_^_{_-_1_}_)$,Nap_ngg,0.001,Unknown,table_p5_ri2_ci1,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_$\mathbf_{_T_E_Q_}___{_\mathrm_{_B_a_P_}_}_(_\mathbf_{_n_g_}_\mathbf_{_g_}_^_{_-_1_}_)$,Acy_ngg,0.001,Unknown,table_p5_ri3_ci1,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_$\mathbf_{_T_E_Q_}___{_\mathrm_{_B_a_P_}_}_(_\mathbf_{_n_g_}_\mathbf_{_g_}_^_{_-_1_}_)$,Ace_ngg,0.001,Unknown,table_p5_ri4_ci1,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
s41598-022-15285-5,s41598-022-15285-5_$\mathbf_{_T_E_Q_}___{_\mathrm_{_B_a_P_}_}_(_\mathbf_{_n_g_}_\mathbf_{_g_}_^_{_-_1_}_)$,Flu_ngg,0.001,Unknown,table_p5_ri5_ci1,soil,,,phase14_batch2; matrix=score=110:high; conf=high; flag=,,
