factor_id,factor_name,track,land_use_target,standard_source,threshold_type,upper_limit,lower_limit,ideal_min,ideal_max,pH_condition,soil_texture_condition,region_condition,unit,threshold_version,evidence_level,notes
136,苯并[a]蒽,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,5.5,,,5.5,,,一类用地区≤5.5mg/kg,mg/kg,V1.0,A,特殊绿地
139,苯并[b]荧蒽,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,15.0,,,15.0,,,二类用地区≤15mg/kg,mg/kg,V1.0,A,一般绿地
140,苯并[b]荧蒽,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,5.5,,,5.5,,,一类用地区≤5.5mg/kg,mg/kg,V1.0,A,特殊绿地
141,苯并[k]荧蒽,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,151.0,,,151.0,,,二类用地区≤151mg/kg,mg/kg,V1.0,A,一般绿地
142,苯并[k]荧蒽,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,55.0,,,55.0,,,一类用地区≤55mg/kg,mg/kg,V1.0,A,特殊绿地
131,苯胺,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,260.0,,,260.0,,,二类用地区≤260mg/kg,mg/kg,V1.0,A,一般绿地
132,苯胺,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,92.0,,,92.0,,,一类用地区≤92mg/kg,mg/kg,V1.0,A,特殊绿地
147,"茚并[1,2,3-cd]芘",ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,15.0,,,15.0,,,二类用地区≤15mg/kg,mg/kg,V1.0,A,一般绿地
148,"茚并[1,2,3-cd]芘",ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,5.5,,,5.5,,,一类用地区≤5.5mg/kg,mg/kg,V1.0,A,特殊绿地
149,萘,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,70.0,,,70.0,,,二类用地区≤70mg/kg,mg/kg,V1.0,A,一般绿地
150,萘,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,25.0,,,25.0,,,一类用地区≤25mg/kg,mg/kg,V1.0,A,特殊绿地
127,邻-二甲苯,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,640.0,,,640.0,,,二类用地区≤640mg/kg,mg/kg,V1.0,A,一般绿地
128,邻-二甲苯,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,222.0,,,222.0,,,一类用地区≤222mg/kg,mg/kg,V1.0,A,特殊绿地
173,邻苯二甲酸丁基苄酯,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,900.0,,,900.0,,,二类用地区≤900mg/kg,mg/kg,V1.0,A,一般绿地
174,邻苯二甲酸丁基苄酯,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,312.0,,,312.0,,,一类用地区≤312mg/kg,mg/kg,V1.0,A,特殊绿地
171,邻苯二甲酸二(2-乙基己基)酯,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,121.0,,,121.0,,,二类用地区≤121mg/kg,mg/kg,V1.0,A,一般绿地
172,邻苯二甲酸二(2-乙基己基)酯,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,42.0,,,42.0,,,一类用地区≤42mg/kg,mg/kg,V1.0,A,特殊绿地
175,邻苯二甲酸二正辛酯,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,2812.0,,,2812.0,,,二类用地区≤2812mg/kg,mg/kg,V1.0,A,一般绿地
176,邻苯二甲酸二正辛酯,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,390.0,,,390.0,,,一类用地区≤390mg/kg,mg/kg,V1.0,A,特殊绿地
69,钒,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,752.0,,,752.0,,,二类用地区≤752mg/kg,mg/kg,V1.0,A,一般绿地
70,钒,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,165.0,,,165.0,,,一类用地区≤165mg/kg,mg/kg,V1.0,A,特殊绿地
67,钴,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,70.0,,,70.0,,,二类用地区≤70mg/kg,mg/kg,V1.0,A,一般绿地
68,钴,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,20.0,,,20.0,,,一类用地区≤20mg/kg,mg/kg,V1.0,A,特殊绿地
49,铅,ecology,生态,绿化种植土壤CJ/T340-2016,interval,530.0,200.0,200.0,530.0,,,其他绿地200-530mg/kg,mg/kg,V1.0,B,一般绿地
50,铅,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,800.0,,,800.0,,,二类用地区≤800mg/kg,mg/kg,V1.0,A,nan
51,铅,ecology,生态,绿化种植土壤CJ/T340-2016,upper,85.0,,,85.0,,,自然保育区≤85mg/kg,mg/kg,V1.0,B,特殊绿地
52,铅,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,400.0,,,400.0,,,一类用地区≤400mg/kg,mg/kg,V1.0,A,nan
65,铍,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,29.0,,,29.0,,,二类用地区≤29mg/kg,mg/kg,V1.0,A,一般绿地
66,铍,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,15.0,,,15.0,,,一类用地区≤15mg/kg,mg/kg,V1.0,A,特殊绿地
45,铜,ecology,生态,绿化种植土壤CJ/T340-2016,interval,600.0,150.0,150.0,600.0,,,其他绿地150-600mg/kg,mg/kg,V1.0,B,一般绿地
46,铜,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,18000.0,,,18000.0,,,二类用地区≤18000mg/kg,mg/kg,V1.0,A,nan
47,铜,ecology,生态,绿化种植土壤CJ/T340-2016,upper,40.0,,,40.0,,,自然保育区≤40mg/kg,mg/kg,V1.0,B,特殊绿地
48,铜,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,2000.0,,,2000.0,,,一类用地区≤2000mg/kg,mg/kg,V1.0,A,nan
41,铬,ecology,生态,绿化种植土壤CJ/T340-2016,interval,400.0,150.0,150.0,400.0,,,其他绿地150-400mg/kg,mg/kg,V1.0,B,一般绿地
42,铬,ecology,生态,绿化种植土壤CJ/T340-2016,upper,100.0,,,100.0,,,自然保育区≤100mg/kg,mg/kg,V1.0,B,特殊绿地
43,铬(六价),ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,5.7,,,5.7,,,二类用地区≤5.7mg/kg,mg/kg,V1.0,A,一般绿地
44,铬(六价),ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,3.0,,,3.0,,,一类用地区≤3mg/kg,mg/kg,V1.0,A,特殊绿地
61,锌,ecology,生态,绿化种植土壤CJ/T340-2016,interval,800.0,250.0,250.0,800.0,,,其他绿地250-800mg/kg,mg/kg,V1.0,B,一般绿地
62,锌,ecology,生态,绿化种植土壤CJ/T340-2016,upper,150.0,,,150.0,,,自然保育区≤150mg/kg,mg/kg,V1.0,B,特殊绿地
63,锑,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,180.0,,,180.0,,,二类用地区≤180mg/kg,mg/kg,V1.0,A,一般绿地
64,锑,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,20.0,,,20.0,,,一类用地区≤20mg/kg,mg/kg,V1.0,A,特殊绿地
37,镉,ecology,生态,绿化种植土壤CJ/T340-2016,interval,2.0,0.6,0.6,2.0,,,其他绿地0.6-2mg/kg,mg/kg,V1.0,B,一般绿地
38,镉,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,65.0,,,65.0,,,二类用地区≤65mg/kg,mg/kg,V1.0,A,nan
39,镉,ecology,生态,绿化种植土壤CJ/T340-2016,upper,0.4,,,0.4,,,自然保育区≤0.40mg/kg,mg/kg,V1.0,B,特殊绿地
40,镉,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,20.0,,,20.0,,,一类用地区≤20mg/kg,mg/kg,V1.0,A,nan
57,镍,ecology,生态,绿化种植土壤CJ/T340-2016,interval,220.0,50.0,50.0,220.0,,,其他绿地50-220mg/kg,mg/kg,V1.0,B,一般绿地
58,镍,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,900.0,,,900.0,,,二类用地区≤900mg/kg,mg/kg,V1.0,A,nan
59,镍,ecology,生态,绿化种植土壤CJ/T340-2016,upper,40.0,,,40.0,,,自然保育区≤40mg/kg,mg/kg,V1.0,B,特殊绿地
60,镍,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,150.0,,,150.0,,,一类用地区≤150mg/kg,mg/kg,V1.0,A,nan
125,间-二甲苯+对-二甲苯,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,570.0,,,570.0,,,二类用地区≤570mg/kg,mg/kg,V1.0,A,一般绿地
126,间-二甲苯+对-二甲苯,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,163.0,,,163.0,,,一类用地区≤163mg/kg,mg/kg,V1.0,A,特殊绿地
179,阿特拉津,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,7.4,,,7.4,,,二类用地区≤7.4mg/kg,mg/kg,V1.0,A,一般绿地
180,阿特拉津,ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,2.6,,,2.6,,,一类用地区≤2.6mg/kg,mg/kg,V1.0,A,特殊绿地
87,"顺-1,2-二氯乙烯",ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,596.0,,,596.0,,,二类用地区≤596mg/kg,mg/kg,V1.0,A,一般绿地
88,"顺-1,2-二氯乙烯",ecology,生态,质量建设用地土壤污染风险管控标准GB36600-2018,upper,66.0,,,66.0,,,一类用地区≤66mg/kg,mg/kg,V1.0,A,特殊绿地
219,发芽指数,ecology,生态,绿化种植土壤CJ/T340-2016,lower,,80.0,80.0,,,,普通绿化区 >80%,%,V1.0,B,一般绿地
"注：
区域定义（含核心管控导向）：
普通绿化区：以基础生态覆盖为核心的绿地，包括道路绿化带、工厂附属绿地、社区外围绿地等，管控重点为土壤基础理化指标（如 pH、有效土层、入渗率），满足植物存活基本需求（依据 CJ/T 340-2016 “普通绿化区” 阈值）；
耐盐碱种植区：受盐碱化影响的特殊绿地，包括滨海绿地、厂区次生盐碱绿地、盐碱地修复绿地等，管控重点为含盐量、交换性钠、钠吸附比等盐害指标（依据 CJ/T 340-2016 耐盐碱相关要求）；
高景观绿化区：兼具景观展示与生态功能的绿地，包括植物园、城市核心花坛、生物滞留池、公园主景观区等，管控重点为肥力指标（如阳离子交换量、有机质、水解性氮等）与景观适配性（如石砾粒径），需满足 CJ/T 340-2016 “高景观绿化区” 必测 / 选测要求；
设施绿化区：非常规场地绿化，包括屋顶绿化、地下顶面绿化、垂直绿化（构筑物壁面）等，管控重点为有效土层厚度（按植物类型区分：乔木≥80cm、灌木≥45cm、草坪≥15cm）、土壤密度（防荷载超限），依据 CJJ 82-2012 设施绿化相关要求；
自然保育区：以生态保护为首要目标的绿地，包括水源涵养林、自然保护区绿地、生态修复核心区等，管控重点为重金属低限值（CJ/T 340-2016 I 级）与原生土壤结构保护，避免人为干预破坏生态平衡；
一类用地绿地：人群高频接触的敏感绿地，包括住宅区内绿地、学校操场绿地、儿童公园、养老院附属绿地等，管控重点为污染物安全阈值（GB 36600-2018 “一类用地筛选值”），防范重金属、挥发性有机物通过接触 / 扬尘影响人体健康；
二类用地绿地：人群低接触或功能性绿地，包括商业街区绿地、工业厂区绿地、仓储区周边绿地等，管控重点为基础生态功能（如滞尘、降噪），污染物指标可按 GB 36600-2018 “二类用地筛选值” 放宽，优先保障植物存活；
污染管控区：潜在 / 历史污染绿地，包括废弃矿地、工业遗留场地修复绿地、污染土壤改良绿地等，管控重点为毒害重金属（砷、镉、铬、铅、汞）与特征污染物（如挥发性卤代烃），需符合 CJ/T 340-2016 IV 级或 GB 36600-2018 对应污染修复限值。
公园绿地指标选取规则：
应用场景中未单独列明的公园绿地，需按功能分区选取阈值：公园内花坛、专类园、生物滞留池等 “高景观功能区”，按 “高景观绿化区” 阈值执行；公园内普通游步道两侧、非景观核心区等 “基础绿化区”，按 “一般绿地” 阈值执行；儿童活动区、老人休憩区等 “人群高频接触区”，需额外符合 “一类用地绿地” 污染物限值。
一般绿地指标取舍规则：
应用场景中明确不含 “一般绿地”（核心场景为基础生态绿化，如道路基础绿化带、社区非景观绿地）的障碍因子时，仅针对非绿化主导功能区域（如绿地内纯硬化配套区、临时堆土区）可不予考虑；若场景涉及植物种植（即使非核心景观），仍需优先保障一般绿地的主控指标（pH、有效土层、入渗率、有机质）达标，避免因指标缺失导致植物生长异常。",发芽指数,ecology,,,conditional,,,,,,,nan,,V1.0,B,nan
23,有效硫,ecology,生态,绿化种植土壤CJ/T340-2016,interval,500.0,20.0,20.0,500.0,,,高景观绿化区 20-500mg/kg,mg/kg,V1.0,B,公园绿地
24,有效磷,ecology,生态,绿化种植土壤CJ/T340-2016,interval,60.0,5.0,5.0,60.0,,,普通绿化区 5-60mg/kg,mg/kg,V1.0,B,一般绿地
25,有效钙,ecology,生态,绿化种植土壤CJ/T340-2016,interval,500.0,200.0,200.0,500.0,,,高景观绿化区 200-500mg/kg,mg/kg,V1.0,B,公园绿地
26,有效钼,ecology,生态,绿化种植土壤CJ/T340-2016,interval,2.0,0.04,0.04,2.0,,,高景观绿化区 0.04-2mg/kg,mg/kg,V1.0,B,公园绿地
27,有效铁,ecology,生态,绿化种植土壤CJ/T340-2016,interval,350.0,4.0,4.0,350.0,,,高景观绿化区 4-350mg/kg,mg/kg,V1.0,B,公园绿地
28,有效铜,ecology,生态,绿化种植土壤CJ/T340-2016,interval,8.0,0.3,0.3,8.0,,,高景观绿化区 0.3-8mg/kg,mg/kg,V1.0,B,公园绿地
29,有效锌,ecology,生态,绿化种植土壤CJ/T340-2016,interval,10.0,1.0,1.0,10.0,,,高景观绿化区 1-10mg/kg,mg/kg,V1.0,B,公园绿地
30,有效锰,ecology,生态,绿化种植土壤CJ/T340-2016,interval,25.0,0.6,0.6,25.0,,,高景观绿化区 0.6-25mg/kg,mg/kg,V1.0,B,公园绿地
31,有效镁,ecology,生态,绿化种植土壤CJ/T340-2016,interval,280.0,50.0,50.0,280.0,,,高景观绿化区 50-280mg/kg,mg/kg,V1.0,B,公园绿地
20,有机质,ecology,生态,绿化种植土壤CJ/T340-2016,interval,80.0,12.0,12.0,80.0,,,普通绿化区 12-80g/kg,g/kg,V1.0,B,一般绿地
21,有机质,ecology,生态,绿化种植土壤CJ/T340-2016,interval,80.0,20.0,20.0,80.0,,,高景观绿化区 20-80g/kg,g/kg,V1.0,B,公园绿地
22,水解性氮,ecology,生态,绿化种植土壤CJ/T340-2016,interval,200.0,40.0,40.0,200.0,,,普通绿化区 40-200mg/kg,mg/kg,V1.0,B,一般绿地
32,速效钾,ecology,生态,绿化种植土壤CJ/T340-2016,interval,300.0,60.0,60.0,300.0,,,普通绿化区 60-300mg/kg,mg/kg,V1.0,B,一般绿地
