factor_id,factor_name_norm,factor_name_raw,track,diagnosis_layer,threshold_role,land_use_target,scenario,standard_source,standard_level,threshold_type,upper_limit,lower_limit,ideal_min,ideal_max,unit,threshold_version,evidence_level,source_file,source_version,source_row_id,notes
25,有效钙,有效钙,production,formal,direct_standard,生态,对绿化景观质量要求较高的土壤,绿化种植土壤CJ/T340-2016,行业标准,interval,,,,,mg/kg,v0.7,B,20251015_V1.6合并版,V1.6,1046,一般控制指标
,有效耕作层厚度,有效耕作层厚度,production,recommended_test,proxy_indicator,生产,全区通用,高标准农田建设通则GB/T30600—2022,国家标准,lower,,≥20cm,,,cm,v0.7,A,20251015_V1.6合并版,V1.6,1045,一般控制指标
24,有效磷,有效磷,production,recommended_test,proxy_indicator,生态,全区通用,绿化种植土壤CJ/T340-2016,行业标准,interval,,,,,mg/kg,v0.7,B,20251015_V1.6合并版,V1.6,1044,一般控制指标
,TN_gkg,全氮,production,recommended_test,proxy_indicator,生态,全区通用,基于主成分-聚类分析的植烟土壤障碍因子诊断-周旭东,其他标准,interval,,,,,g/kg,v0.7,B,20251015_V1.6合并版,V1.6,1042,一般控制指标
74,氰化物,氰化物,production,formal,direct_standard,生产,第一类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,1023,农产品安全关键指标
190,敌敌畏,敌敌畏,production,formal,direct_standard,生产,第一类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,1020,农产品安全关键指标
214,二噁英类(总毒性当量),二噁英类(总毒性当量),production,formal,direct_standard,生产,第一类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,1015,农产品安全关键指标
192,乐果,乐果,production,formal,direct_standard,生产,第二类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,1011,重点监测因子；农产品安全关键指标
181,SumHCHs_ngg,六六六总量,production,supplementary_screening,screening_reference,生产,全区通用,土壤环境质量农用土壤污染风险管控标准GB15618-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,1016,农产品安全关键指标
23,有效硫,有效硫,production,formal,direct_standard,生态,对绿化景观质量要求较高的土壤,绿化种植土壤CJ/T340-2016,行业标准,interval,,,,,mg/kg,v0.7,B,20251015_V1.6合并版,V1.6,1043,一般控制指标
