paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_RV,SumHCH_ngg,1.0,Unknown,table_p2_ri9_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_Standard_deviation,SumHCH_ngg,2.32,Unknown,table_p2_ri10_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_Maximum,SumHCH_ngg,10.38,Unknown,table_p2_ri10_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_RV,SumHCH_ngg,10.0,Unknown,table_p2_ri10_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_SJ2,SumHCH_ngg,2.43,Unknown,table_p5_ri2_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_SJ3,SumDDT_ngg,0.0,Unknown,table_p5_ri3_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_SJ3,SumHCH_ngg,13.67,Unknown,table_p5_ri3_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_SJ4,SumHCH_ngg,3.9,Unknown,table_p5_ri4_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_SJ6,SumHCH_ngg,5.17,Unknown,table_p5_ri6_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_MH1,SumHCH_ngg,6.8,Unknown,table_p5_ri7_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_JS1,SumHCH_ngg,0.45,Unknown,table_p5_ri9_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
