paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
s41598-022-08906-6,s41598-022-08906-6_TEQBap_of_grassland_soils_(μg/kg),Ace_ngg,1.41,Unknown,table_p10_ri4_ci4,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_TEQBap_of_farmland_soils_(μg/kg),Ace_ngg,0.04,Unknown,table_p10_ri4_ci5,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_TEF,Flu_ngg,0.001,Unknown,table_p10_ri5_ci2,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_TEQBap_of_petro-related_area_soils_(μg/kg),Flu_ngg,2.635,Unknown,table_p10_ri5_ci3,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=range_mean,,
s41598-022-08906-6,s41598-022-08906-6_TEQBap_of_grassland_soils_(μg/kg),Flu_ngg,2.1,Unknown,table_p10_ri5_ci4,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_TEQBap_of_farmland_soils_(μg/kg),Flu_ngg,0.23,Unknown,table_p10_ri5_ci5,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_Dutch_Soil_Standard_(μg/kg),Phe_ngg,50.0,Unknown,table_p10_ri6_ci1,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_TEF,Phe_ngg,0.001,Unknown,table_p10_ri6_ci2,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_TEQBap_of_petro-related_area_soils_(μg/kg),Phe_ngg,2.205,Unknown,table_p10_ri6_ci3,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=range_mean,,
s41598-022-08906-6,s41598-022-08906-6_TEQBap_of_grassland_soils_(μg/kg),Phe_ngg,2.68,Unknown,table_p10_ri6_ci4,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_TEQBap_of_farmland_soils_(μg/kg),Phe_ngg,0.43,Unknown,table_p10_ri6_ci5,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_Dutch_Soil_Standard_(μg/kg),Ant_ngg,50.0,Unknown,table_p10_ri7_ci1,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_TEF,Ant_ngg,0.01,Unknown,table_p10_ri7_ci2,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_TEQBap_of_petro-related_area_soils_(μg/kg),Ant_ngg,3.8449999999999998,Unknown,table_p10_ri7_ci3,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=range_mean,,
s41598-022-08906-6,s41598-022-08906-6_TEQBap_of_grassland_soils_(μg/kg),Ant_ngg,4.78,Unknown,table_p10_ri7_ci4,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_TEQBap_of_farmland_soils_(μg/kg),Ant_ngg,0.46,Unknown,table_p10_ri7_ci5,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_TEF,Pyr_ngg,0.001,Unknown,table_p10_ri9_ci2,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_TEQBap_of_petro-related_area_soils_(μg/kg),Pyr_ngg,0.515,Unknown,table_p10_ri9_ci3,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=range_mean,,
s41598-022-08906-6,s41598-022-08906-6_TEQBap_of_grassland_soils_(μg/kg),Pyr_ngg,0.65,Unknown,table_p10_ri9_ci4,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_TEQBap_of_farmland_soils_(μg/kg),Pyr_ngg,0.34,Unknown,table_p10_ri9_ci5,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_Dutch_Soil_Standard_(μg/kg),BaA_ngg,20.0,Unknown,table_p10_ri10_ci1,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_TEF,BaA_ngg,0.1,Unknown,table_p10_ri10_ci2,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_TEQBap_of_petro-related_area_soils_(μg/kg),BaA_ngg,61.629999999999995,Unknown,table_p10_ri10_ci3,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=range_mean,,
s41598-022-08906-6,s41598-022-08906-6_TEQBap_of_grassland_soils_(μg/kg),BaA_ngg,68.64,Unknown,table_p10_ri10_ci4,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_TEQBap_of_farmland_soils_(μg/kg),BaA_ngg,12.63,Unknown,table_p10_ri10_ci5,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_Dutch_Soil_Standard_(μg/kg),Chr_ngg,20.0,Unknown,table_p10_ri11_ci1,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_TEF,Chr_ngg,0.001,Unknown,table_p10_ri11_ci2,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_TEQBap_of_petro-related_area_soils_(μg/kg),Chr_ngg,2.535,Unknown,table_p10_ri11_ci3,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=range_mean,,
s41598-022-08906-6,s41598-022-08906-6_TEQBap_of_grassland_soils_(μg/kg),Chr_ngg,2.032,Unknown,table_p10_ri11_ci4,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_TEQBap_of_farmland_soils_(μg/kg),Chr_ngg,0.29,Unknown,table_p10_ri11_ci5,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_TEF,BbF_ngg,0.1,Unknown,table_p10_ri12_ci2,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_TEQBap_of_petro-related_area_soils_(μg/kg),BbF_ngg,204.685,Unknown,table_p10_ri12_ci3,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=range_mean,,
s41598-022-08906-6,s41598-022-08906-6_TEQBap_of_grassland_soils_(μg/kg),BbF_ngg,251.36,Unknown,table_p10_ri12_ci4,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_TEQBap_of_farmland_soils_(μg/kg),BbF_ngg,23.47,Unknown,table_p10_ri12_ci5,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_Dutch_Soil_Standard_(μg/kg),BkF_ngg,25.0,Unknown,table_p10_ri13_ci1,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_TEF,BkF_ngg,0.1,Unknown,table_p10_ri13_ci2,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_TEQBap_of_petro-related_area_soils_(μg/kg),BkF_ngg,18.26,Unknown,table_p10_ri13_ci3,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=range_mean,,
s41598-022-08906-6,s41598-022-08906-6_TEQBap_of_grassland_soils_(μg/kg),BkF_ngg,8.57,Unknown,table_p10_ri13_ci4,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_TEQBap_of_farmland_soils_(μg/kg),BkF_ngg,1.22,Unknown,table_p10_ri13_ci5,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_Dutch_Soil_Standard_(μg/kg),BaP_ngg,25.0,Unknown,table_p10_ri14_ci1,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_TEF,BaP_ngg,1.0,Unknown,table_p10_ri14_ci2,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_TEQBap_of_petro-related_area_soils_(μg/kg),BaP_ngg,292.91499999999996,Unknown,table_p10_ri14_ci3,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=range_mean,,
s41598-022-08906-6,s41598-022-08906-6_TEQBap_of_grassland_soils_(μg/kg),BaP_ngg,368.48,Unknown,table_p10_ri14_ci4,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_TEQBap_of_farmland_soils_(μg/kg),BaP_ngg,35.87,Unknown,table_p10_ri14_ci5,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_Dutch_Soil_Standard_(μg/kg),BghiP_ngg,20.0,Unknown,table_p10_ri17_ci1,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_TEF,BghiP_ngg,0.01,Unknown,table_p10_ri17_ci2,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_TEQBap_of_petro-related_area_soils_(μg/kg),BghiP_ngg,0.52,Unknown,table_p10_ri17_ci3,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=range_mean,,
s41598-022-08906-6,s41598-022-08906-6_TEQBap_of_grassland_soils_(μg/kg),BghiP_ngg,0.096,Unknown,table_p10_ri17_ci4,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
s41598-022-08906-6,s41598-022-08906-6_TEQBap_of_farmland_soils_(μg/kg),BghiP_ngg,0.034,Unknown,table_p10_ri17_ci5,soil,,,phase14_batch2; matrix=score=173:high; conf=high; flag=,,
