paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72210_2155-6199.1000407,72210_2155-6199.1000407_Evaporation_of_pollutants_in_the_surface_soil_into_theoutdoor_air_$_{_\mathtt_{_N_F_}_}___{_\mathtt_{_s_u_r_o_a_}_}_)$,Nap_ngg,3.80518e-05,Unknown,table_p3_ri1_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Inhalation_the_air_pollutants_ofoutdoor_which_from_the_soilsurface,BaA_ngg,0.42,Unknown,table_p6_ri19_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Inhalation_the_air_pollutants_ofoutdoor_which_from_the_soillower_layer,BaA_ngg,7.08e-12,Unknown,table_p6_ri19_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_PH,BbF_ngg,20.62,Unknown,table_p6_ri20_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Moisturecontent%,BbF_ngg,0.000735,Unknown,table_p6_ri20_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_types_ofpollutant,BbF_ngg,0.99,Unknown,table_p6_ri20_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Averagecontent_(mg/kg）,BbF_ngg,1.48e-06,Unknown,table_p6_ri20_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Oral_intake,BbF_ngg,0.32,Unknown,table_p6_ri20_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Skin_contact,BbF_ngg,3.17e-07,Unknown,table_p6_ri20_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Inhalation_the_air_pollutants_ofoutdoor_which_from_the_soilsurface,BbF_ngg,0.12,Unknown,table_p6_ri20_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Inhalation_the_air_pollutants_ofoutdoor_which_from_the_soillower_layer,BbF_ngg,3.09e-13,Unknown,table_p6_ri20_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_PH,BaP_ngg,14.39,Unknown,table_p6_ri21_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Moisturecontent%,BaP_ngg,0.000513,Unknown,table_p6_ri21_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_types_ofpollutant,BaP_ngg,0.69,Unknown,table_p6_ri21_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Averagecontent_(mg/kg）,BaP_ngg,1.03e-06,Unknown,table_p6_ri21_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Oral_intake,BaP_ngg,0.22,Unknown,table_p6_ri21_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Skin_contact,BaP_ngg,2e-07,Unknown,table_p6_ri21_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Inhalation_the_air_pollutants_ofoutdoor_which_from_the_soilsurface,BaP_ngg,0.08,Unknown,table_p6_ri21_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72210_2155-6199.1000407,72210_2155-6199.1000407_Inhalation_the_air_pollutants_ofoutdoor_which_from_the_soillower_layer,BaP_ngg,1.77e-13,Unknown,table_p6_ri21_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
