paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_C2,Sum_PAH_ngg,350.0,Unknown,table_p8_ri7_ci2,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_C2,Sum_PAH_ngg,101.0,Unknown,table_p8_ri7_ci3,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_C2,Sum_PAH_ngg,63.0,Unknown,table_p8_ri7_ci5,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_C2,OC_pct,63.0,Unknown,table_p8_ri7_ci5,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_C2,Sum_PAH_ngg,14.0,Unknown,table_p8_ri7_ci6,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_C2,OC_pct,14.0,Unknown,table_p8_ri7_ci6,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_C2,BaA_ngg,0.3,Unknown,table_p8_ri7_ci7,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_C2,Chr_ngg,0.3,Unknown,table_p8_ri7_ci7,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_C2,BghiP_ngg,0.5,Unknown,table_p8_ri7_ci8,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_C3,Sum_PAH_ngg,289.0,Unknown,table_p8_ri8_ci1,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_C3,Sum_PAH_ngg,267.0,Unknown,table_p8_ri8_ci2,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_C3,Sum_PAH_ngg,21.0,Unknown,table_p8_ri8_ci3,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_C3,Sum_PAH_ngg,61.0,Unknown,table_p8_ri8_ci5,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_C3,OC_pct,61.0,Unknown,table_p8_ri8_ci5,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_C3,Sum_PAH_ngg,5.0,Unknown,table_p8_ri8_ci6,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_C3,OC_pct,5.0,Unknown,table_p8_ri8_ci6,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
