paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
15275922.2013.814180,15275922.2013.814180_Background_soil_20,TotalPHC_mgkg,53.6,Unknown,table_p6_ri20_ci7,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_21,TotalPHC_mgkg,0.06,Unknown,table_p6_ri21_ci1,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_21,TotalPHC_mgkg,0.01,Unknown,table_p6_ri21_ci2,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_21,TotalPHC_mgkg,0.05,Unknown,table_p6_ri21_ci3,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_21,TotalPHC_mgkg,22.4,Unknown,table_p6_ri21_ci5,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_21,TotalPHC_mgkg,86.3,Unknown,table_p6_ri21_ci6,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_21,TotalPHC_mgkg,17.3,Unknown,table_p6_ri21_ci7,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_22,TotalPHC_mgkg,0.07,Unknown,table_p6_ri22_ci1,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_22,TotalPHC_mgkg,0.07,Unknown,table_p6_ri22_ci2,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_22,TotalPHC_mgkg,0.05,Unknown,table_p6_ri22_ci3,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_22,TotalPHC_mgkg,100.0,Unknown,table_p6_ri22_ci5,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_22,TotalPHC_mgkg,71.4,Unknown,table_p6_ri22_ci6,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Background_soil_22,TotalPHC_mgkg,42.9,Unknown,table_p6_ri22_ci7,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Contaminated_soil_1,TotalPHC_mgkg,4.12,Unknown,table_p6_ri23_ci1,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Contaminated_soil_1,TotalPHC_mgkg,3.31,Unknown,table_p6_ri23_ci2,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Contaminated_soil_1,TotalPHC_mgkg,0.58,Unknown,table_p6_ri23_ci3,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Contaminated_soil_1,TotalPHC_mgkg,80.4,Unknown,table_p6_ri23_ci5,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Contaminated_soil_1,TotalPHC_mgkg,14.1,Unknown,table_p6_ri23_ci6,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Contaminated_soil_1,TotalPHC_mgkg,13.3,Unknown,table_p6_ri23_ci7,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Contaminated_soil_2,TotalPHC_mgkg,38.5,Unknown,table_p6_ri24_ci1,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Contaminated_soil_2,TotalPHC_mgkg,32.3,Unknown,table_p6_ri24_ci2,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Contaminated_soil_2,TotalPHC_mgkg,1.44,Unknown,table_p6_ri24_ci3,soil,mining,,phase14_auto; confidence=high; flag=,,
15275922.2013.814180,15275922.2013.814180_Contaminated_soil_2,TotalPHC_mgkg,83.9,Unknown,table_p6_ri24_ci5,soil,mining,,phase14_auto; confidence=high; flag=,,
