paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72402_j.chemosphere.2009.01.027,72402_j.chemosphere.2009.01.027_Roadside_(n_=_17),Phe_ngg,48.1,Unknown,table_p2_ri8_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72402_j.chemosphere.2009.01.027,72402_j.chemosphere.2009.01.027_Commercial_district_(n_=_8),Phe_ngg,2860.0,Unknown,table_p2_ri8_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72402_j.chemosphere.2009.01.027,72402_j.chemosphere.2009.01.027_$\mathrm_{_P_a_r_k_}_\left(_n_=_6_\right)$,Phe_ngg,672.0,Unknown,table_p2_ri8_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72402_j.chemosphere.2009.01.027,72402_j.chemosphere.2009.01.027_Residential_district_(n_=_12),Phe_ngg,29.3,Unknown,table_p2_ri8_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72402_j.chemosphere.2009.01.027,72402_j.chemosphere.2009.01.027_Greenbelts_(n_=_12),Phe_ngg,350.0,Unknown,table_p2_ri8_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72402_j.chemosphere.2009.01.027,72402_j.chemosphere.2009.01.027_Roadside_(n_=_17),Ant_ngg,6.89,Unknown,table_p2_ri9_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72402_j.chemosphere.2009.01.027,72402_j.chemosphere.2009.01.027_Commercial_district_(n_=_8),Ant_ngg,882.0,Unknown,table_p2_ri9_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72402_j.chemosphere.2009.01.027,72402_j.chemosphere.2009.01.027_$\mathrm_{_P_a_r_k_}_\left(_n_=_6_\right)$,Ant_ngg,177.0,Unknown,table_p2_ri9_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72402_j.chemosphere.2009.01.027,72402_j.chemosphere.2009.01.027_Residential_district_(n_=_12),Ant_ngg,7.09,Unknown,table_p2_ri9_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72402_j.chemosphere.2009.01.027,72402_j.chemosphere.2009.01.027_Greenbelts_(n_=_12),Ant_ngg,61.8,Unknown,table_p2_ri9_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
