paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
Polycyclic aromatic hydrocarbons  PAHs  in riparia,"Polycyclic aromatic hydrocarbons  PAHs  in riparia_Suburban_sois_in_Nanjing,_China",Sum_PAH_ngg,16.0,Unknown,table_p6_ri5_ci1,soil,,,phase14_batch2; matrix=score=157:high; conf=high; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,"Polycyclic aromatic hydrocarbons  PAHs  in riparia_Urban_soils_in_Dalian,China",Sum_PAH_ngg,15.0,Unknown,table_p6_ri6_ci1,soil,,,phase14_batch2; matrix=score=157:high; conf=high; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,"Polycyclic aromatic hydrocarbons  PAHs  in riparia_Urban_soils_in_Lanzhou,_China",Sum_PAH_ngg,16.0,Unknown,table_p6_ri7_ci1,soil,,,phase14_batch2; matrix=score=157:high; conf=high; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,"Polycyclic aromatic hydrocarbons  PAHs  in riparia_Soils_from_industrial_areas_in_Yangtze_River_Delta,_China",Sum_PAH_ngg,19.0,Unknown,table_p6_ri8_ci1,soil,,,phase14_batch2; matrix=score=157:high; conf=high; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,"Polycyclic aromatic hydrocarbons  PAHs  in riparia_Soils_in_a_coalmining_area_of_Huainan,_China",Sum_PAH_ngg,16.0,Unknown,table_p6_ri9_ci1,soil,,,phase14_batch2; matrix=score=157:high; conf=high; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,"Polycyclic aromatic hydrocarbons  PAHs  in riparia_Arable_soils_in_Beijing,China",Sum_PAH_ngg,15.0,Unknown,table_p6_ri10_ci1,soil,,,phase14_batch2; matrix=score=157:high; conf=high; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,"Polycyclic aromatic hydrocarbons  PAHs  in riparia_Soils_of_greenhouses_in_Shandong_Province,_China",Sum_PAH_ngg,16.0,Unknown,table_p6_ri11_ci1,soil,,,phase14_batch2; matrix=score=157:high; conf=high; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,"Polycyclic aromatic hydrocarbons  PAHs  in riparia_Agricultural_soil_of_Shanxi_Province,_China",Sum_PAH_ngg,15.0,Unknown,table_p6_ri12_ci1,soil,,,phase14_batch2; matrix=score=157:high; conf=high; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,"Polycyclic aromatic hydrocarbons  PAHs  in riparia_Agricultural_soils_from_Northwest_Fujian,_China",Sum_PAH_ngg,16.0,Unknown,table_p6_ri13_ci1,soil,,,phase14_batch2; matrix=score=157:high; conf=high; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,"Polycyclic aromatic hydrocarbons  PAHs  in riparia_Yellow_River_Estuary,_China",Sum_PAH_ngg,16.0,Unknown,table_p6_ri14_ci1,soil,,,phase14_batch2; matrix=score=157:high; conf=high; flag=,,
