paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_UG1_(n_=_2),Pyr_ngg,219.5,Unknown,table_p4_ri9_ci7,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_S2_(n_=_7),Pyr_ngg,2.2,Unknown,table_p4_ri9_ci8,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_S1_(n_=_2),Pyr_ngg,46.8,Unknown,table_p4_ri9_ci9,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_NCs,BaA_ngg,0.1,Unknown,table_p4_ri10_ci1,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_MPCs,BaA_ngg,10.0,Unknown,table_p4_ri10_ci2,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_NCs,BbF_ngg,0.1,Unknown,table_p4_ri12_ci1,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_MPCs,BbF_ngg,10.0,Unknown,table_p4_ri12_ci2,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_NCs,BkF_ngg,0.4,Unknown,table_p4_ri13_ci1,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_MPCs,BkF_ngg,40.0,Unknown,table_p4_ri13_ci2,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_S1_(n_=_2),BkF_ngg,0.9,Unknown,table_p4_ri13_ci9,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
