paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72157_s11270-012-1265-7,72157_s11270-012-1265-7_col9,Acy_ngg,0.1,Unknown,table_p9_ri4_ci9,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_col1,Ace_ngg,0.5,Unknown,table_p9_ri6_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_col2,Ace_ngg,0.1,Unknown,table_p9_ri6_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_col1,Flu_ngg,0.2,Unknown,table_p9_ri8_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_col2,Flu_ngg,0.2,Unknown,table_p9_ri8_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_col4,Flu_ngg,0.1,Unknown,table_p9_ri8_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_col7,Flu_ngg,0.1,Unknown,table_p9_ri8_ci7,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_col9,Flu_ngg,0.1,Unknown,table_p9_ri8_ci9,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_col2,Pyr_ngg,3.4,Unknown,table_p9_ri16_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_col3,Pyr_ngg,0.7,Unknown,table_p9_ri16_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_col5,Pyr_ngg,1.2,Unknown,table_p9_ri16_ci5,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_col6,Pyr_ngg,0.2,Unknown,table_p9_ri16_ci6,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_col8,Pyr_ngg,4.9,Unknown,table_p9_ri16_ci8,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_col9,Pyr_ngg,1.5,Unknown,table_p9_ri16_ci9,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_col10,Pyr_ngg,1.5,Unknown,table_p9_ri16_ci10,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_col11,Pyr_ngg,0.1,Unknown,table_p9_ri16_ci11,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_col1,Ind_ngg,11.950000000000001,Unknown,table_p10_ri2_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_col2,Ind_ngg,0.5,Unknown,table_p10_ri2_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_col5,Ind_ngg,3.275,Unknown,table_p10_ri2_ci5,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_col8,Ind_ngg,3.05,Unknown,table_p10_ri2_ci8,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_col9,Ind_ngg,0.5,Unknown,table_p10_ri2_ci9,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
