paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72405_s10661-011-1895-z,72405_s10661-011-1895-z_4,BaP_ngg,0.8,Unknown,table_p3_ri13_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_5,BaP_ngg,13.97,Unknown,table_p3_ri13_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_6,BaP_ngg,41.17,Unknown,table_p3_ri13_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_7,BaP_ngg,52.65,Unknown,table_p3_ri13_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_8,BaP_ngg,4.53,Unknown,table_p3_ri13_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_9,BaP_ngg,7.25,Unknown,table_p3_ri13_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_10,BaP_ngg,5.67,Unknown,table_p3_ri13_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_11,BaP_ngg,28.3,Unknown,table_p3_ri13_ci11,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_12,BaP_ngg,4.09,Unknown,table_p3_ri13_ci12,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_1,Sum_PAH_ngg,34.61,Unknown,table_p3_ri17_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_2,Sum_PAH_ngg,16.5,Unknown,table_p3_ri17_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_3,Sum_PAH_ngg,8.03,Unknown,table_p3_ri17_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_4,Sum_PAH_ngg,3.39,Unknown,table_p3_ri17_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_5,Sum_PAH_ngg,4.82,Unknown,table_p3_ri17_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_6,Sum_PAH_ngg,34.49,Unknown,table_p3_ri17_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_7,Sum_PAH_ngg,6.27,Unknown,table_p3_ri17_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_8,Sum_PAH_ngg,67.6,Unknown,table_p3_ri17_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_9,Sum_PAH_ngg,24.16,Unknown,table_p3_ri17_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_10,Sum_PAH_ngg,65.7,Unknown,table_p3_ri17_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_11,Sum_PAH_ngg,36.12,Unknown,table_p3_ri17_ci11,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_12,Sum_PAH_ngg,23.46,Unknown,table_p3_ri17_ci12,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_1,Sum_PAH_ngg,151.4,Unknown,table_p3_ri18_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72405_s10661-011-1895-z,72405_s10661-011-1895-z_2,Sum_PAH_ngg,51.5,Unknown,table_p3_ri18_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
