sample_id,source_id,paper_id,province,city_or_region,latitude,longitude,matrix,x_measured_SumPFAS_ngg,audit_flag
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_89,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,ShanDong,Jining,34.98444444,116.3980556,soil,0.6187192541874701,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_90,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,ShanDong,Zibo,36.85027778,117.8416667,soil,4.459718134072392,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_91,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,ShanDong,Jinan,36.38138889,116.6425,soil,1.1657769038657495,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_92,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Inner Mongolia,Chifeng,42.10361111,119.3163889,soil,0.6191228837726875,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_93,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Inner Mongolia,Bayanzhuor,40.950148,107.351793,soil,0.0818671223013689,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_94,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Inner Mongolia,Huhehaote,40.843111,111.8188,soil,0.24331436401585846,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_96,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Hubei,Jingzhou,29.66305556,113.3030556,soil,0.7212248709892113,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_97,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Hubei,Huangshi,29.97305556,114.6663889,soil,1.2139623609833283,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_98,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Hubei,Yichang,30.697446484492,111.29254921035,soil,0.14101036912630036,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_99,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Hubei,Wuhan,30.255,113.8588889,soil,0.4679171893727466,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_100,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Chongqing,Chongqing,30.01611111,106.8283333,soil,0.27861055829654735,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_101,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Chongqing,Chongqing,29.27222222,106.5669444,soil,0.35956141525358504,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_102,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Guangdong,Shanwei,23.26444444,115.6380556,soil,0.7483115472912086,si_native_table_verified
