column,missing_pct
Y_cmolkg,99.99
Ca_cmolkg,99.99
K_cmolkg,99.99
Mg_cmolkg,99.99
Na_cmolkg,99.99
BC_cmolkg,99.99
DHA_umolTPF_kgh,99.99
pHKCl,99.99
Sum_PAH_ugg,99.99
TSS_mgkg,99.99
LOI_mgkg,99.99
BTBPE_ngg,100.0
Sum7PAH_mgkg,100.0
SumBPAH_mgkg,100.0
TC_ngg,100.0
CC_ngg,100.0
EndosulfanSulfate_ngg,100.0
IP_mgkg,100.0
DOC_mgkg,99.97
LocationDetails,100.0
WaterDepth_m,100.0
SumDDTs_ngg_range_min,100.0
SumDDTs_ngg_range_max,100.0
SumDDTs_ngg_average,100.0
SumHCHs_ngg_range_min,100.0
SumHCHs_ngg_range_max,100.0
SumHCHs_ngg_average,100.0
DDT_inventory_ng_cm2,100.0
HCH_inventory_ng_cm2,100.0
DnHP_ugkg,100.0
Available_N_mgkg,99.99
Available_P_mgkg,99.99
Available_K_mgkg,99.99
SumOPEs_ngg,100.0
Benzene_ugkg,100.0
C10_40_mgkg,100.0
DCM_ugkg,100.0
6_OH_BDE_47_ngg,100.0
NA_ngg,100.0
PCB149_ngg,100.0
PCB170_ngg,100.0
PCB31_ngg,100.0
PCB18_ngg,100.0
PCB20_ngg,100.0
DnBP_ugkg,100.0
MnBP_ugkg,100.0
MEHP_ugkg,100.0
Extraction_note,100.0
TCA_mgkg,100.0
Xyl_ngg,100.0
OC_pct_calculated_by,100.0
FOSA_ngg,100.0
Total_Bicyclic_Aromatics_mgkg,100.0
Total_Tricyclic_Aromatics_mgkg,100.0
Total_Tetracyclic_Aromatics_mgkg,100.0
Total_Pentacyclic_Aromatics_mgkg,100.0
ANAPs_ngg,99.97
APHEs_ngg,99.97
2MANT_ngg,99.97
C1FLU_ngg,99.97
C1FLA_ngg,99.97
C1PYR_ngg,99.97
7MBaP_ngg,99.97
SumAPAH_ngg,99.97
Sum_ngg,100.0
TFA_ngg,100.0
HFIP_ngg,100.0
NTf2_ngg,100.0
6:2 FTAB_ngg,100.0
R_HCH_ngg,100.0
SumPBDD_F_ngg,100.0
Tph_mgkg,100.0
TotalTSS_mgl,99.99
LOI_mgl,99.99
Conductivity_mScm,99.99
Chloride_mgl,99.99
Pb_total_ugl,99.99
Cu_total_ugl,99.99
Zn_total_ugl,99.99
Cd_total_ugl,99.99
Pb_dissolved_ugl,99.99
Cu_dissolved_ugl,99.99
Zn_dissolved_ugl,99.99
Cd_dissolved_ugl,99.99
Cu_trulydissolved_ugl,99.99
Zn_trulydissolved_ugl,99.99
Cd_trulydissolved_ugl,99.99
SumCarc_ngg,99.99
SumLMWPAH_ngg,99.99
SumMMWPAH_ngg,99.99
SumHMWPAH_ngg,99.99
BDE197_ngg,100.0
BDE7_ngg,100.0
BDE15_ngg,100.0
BDE28_33_ngg,100.0
BDE49_ngg,100.0
BDE66_ngg,100.0
BDE77_ngg,100.0
BDE85_ngg,100.0
BDE119_ngg,100.0
e_waste_activity,100.0
BDE203_ngg,100.0
BDE3_ngg,100.0
BDE71_ngg,100.0
BDE126_ngg,100.0
AnnualTemp_C,99.98
MMWPAH_ngg,100.0
Cr_max_mgkg,100.0
Ni_max_mgkg,100.0
Cu_max_mgkg,100.0
Zn_max_mgkg,100.0
As_max_mgkg,100.0
Cd_max_mgkg,100.0
Hg_max_mgkg,100.0
Pb_max_mgkg,100.0
extraction_notes_field,100.0
BackgroundSOC_gkg,100.0
VegetationType,99.87
extraction_notes_inline,100.0
Latitude,0.0
Longitude,0.0
site_id,0.0
