factor_id,factor_name_cn,factor_name_norm,factor_name_en,factor_type,pollution_group,track_applicable,production_applicable,ecology_applicable,diagnosis_layer,threshold_role,default_unit,evidence_level,source_file,source_version,source_row_id,final_status,data_role,selected_column,coverage_pct,match_type,notes
212,"3,3'4,4'5,5'-六氯联苯(PCB169)","3,3'4,4'5,5'-六氯联苯(PCB169)","3,3'4,4'5,5'-六氯联苯(PCB169)",formal,,both,1,1,formal,direct_standard,,C,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
PAHs_total,PAHs总量,PAHs_total,PAHs_total,supplementary_screening,,both,1,1,supplementary_screening,screening_reference,,B,,v0.7,,used_in_extended_oi,family_aggregate,Sum_PAH_ngg,10.26,family_aggregate,
PCBs_total,多氯联苯总量,PCBs_total,PCBs_total,supplementary_screening,,both,1,1,supplementary_screening,screening_reference,,B,,v0.7,,used_in_extended_oi,family_aggregate,SumPCB_ngg,0.81,family_aggregate,
PBDEs_total,多溴二苯醚总量,PBDEs_total,PBDEs_total,supplementary_screening,,both,1,1,supplementary_screening,screening_reference,,B,,v0.7,,used_in_extended_oi,family_aggregate,SumPBDE_ngg,0.66,family_aggregate,
PFAS_total,PFAS总量,PFAS_total,PFAS_total,supplementary_screening,,both,1,1,supplementary_screening,screening_reference,,B,,v0.7,,used_in_extended_oi,family_aggregate,SumPFAS_ngg,0.26,family_aggregate,
PAEs_total,邻苯二甲酸酯总量,PAEs_total,PAEs_total,supplementary_screening,,both,1,1,supplementary_screening,screening_reference,,B,,v0.7,,used_in_extended_oi,family_aggregate,SumPAE_ugkg,0.42,family_aggregate,
gee_ndvi,植被恢复潜力,gee_ndvi,gee_ndvi,background_only,,both,1,1,model_covariate,proxy_indicator,,C,,v0.7,,used_as_model_feature,proxy_covariate,gee_ndvi,98.12,proxy_covariate,
gee_precip_annual_mm,气候水分条件,gee_precip_annual_mm,gee_precip_annual_mm,background_only,,both,1,1,model_covariate,proxy_indicator,,C,,v0.7,,used_as_model_feature,proxy_covariate,gee_precip_annual_mm,98.12,proxy_covariate,
gee_temp_mean_c,光温条件,gee_temp_mean_c,gee_temp_mean_c,background_only,,both,1,1,model_covariate,proxy_indicator,,C,,v0.7,,used_as_model_feature,proxy_covariate,gee_temp_mean_c,98.12,proxy_covariate,
gee_elevation_m,海拔,gee_elevation_m,gee_elevation_m,background_only,,both,1,1,model_covariate,proxy_indicator,,C,,v0.7,,used_as_model_feature,proxy_covariate,gee_elevation_m,98.12,proxy_covariate,
gee_slope_deg,坡度,gee_slope_deg,gee_slope_deg,background_only,,both,1,1,model_covariate,proxy_indicator,,C,,v0.7,,used_as_model_feature,proxy_covariate,gee_slope_deg,98.12,proxy_covariate,
gee_aspect_deg,坡向,gee_aspect_deg,gee_aspect_deg,background_only,,both,1,1,model_covariate,proxy_indicator,,C,,v0.7,,used_as_model_feature,proxy_covariate,gee_aspect_deg,98.12,proxy_covariate,
gee_soil_pH,pH代理,gee_soil_pH,gee_soil_pH,background_only,,both,1,1,model_covariate,proxy_indicator,,C,,v0.7,,used_as_model_feature,proxy_covariate,gee_soil_pH,70.52,proxy_covariate,
gee_soc_g_kg,有机碳代理,gee_soc_g_kg,gee_soc_g_kg,background_only,,both,1,1,model_covariate,proxy_indicator,,C,,v0.7,,used_as_model_feature,proxy_covariate,gee_soc_g_kg,70.52,proxy_covariate,
gee_cec_cmol_kg,CEC代理,gee_cec_cmol_kg,gee_cec_cmol_kg,background_only,,both,1,1,model_covariate,proxy_indicator,,C,,v0.7,,used_as_model_feature,proxy_covariate,gee_cec_cmol_kg,70.52,proxy_covariate,
gee_clay_pct,黏粒代理,gee_clay_pct,gee_clay_pct,background_only,,both,1,1,model_covariate,proxy_indicator,,C,,v0.7,,used_as_model_feature,proxy_covariate,gee_clay_pct,70.52,proxy_covariate,
gee_sand_pct,砂粒代理,gee_sand_pct,gee_sand_pct,background_only,,both,1,1,model_covariate,proxy_indicator,,C,,v0.7,,used_as_model_feature,proxy_covariate,gee_sand_pct,70.52,proxy_covariate,
gee_silt_pct,粉粒代理,gee_silt_pct,gee_silt_pct,background_only,,both,1,1,model_covariate,proxy_indicator,,C,,v0.7,,used_as_model_feature,proxy_covariate,gee_silt_pct,70.52,proxy_covariate,
gee_bulk_density_g_cm3,容重代理,gee_bulk_density_g_cm3,gee_bulk_density_g_cm3,background_only,,both,1,1,model_covariate,proxy_indicator,,C,,v0.7,,used_as_model_feature,proxy_covariate,gee_bulk_density_g_cm3,70.52,proxy_covariate,
gee_nitrogen_g_kg,全氮代理,gee_nitrogen_g_kg,gee_nitrogen_g_kg,background_only,,both,1,1,model_covariate,proxy_indicator,,C,,v0.7,,used_as_model_feature,proxy_covariate,gee_nitrogen_g_kg,70.52,proxy_covariate,
