factor,track,category,threshold_value,unit,ph_segment,land_class,source,confidence,note
"p,p'-滴滴滴",生态,OP,≤7.1mg/kg,mg/kg,无,二类用地,GB36600-2018,high,用地前缀:二类用地区; 场景:一般绿地
"p,p'-滴滴滴",生态,OP,≤2.5mg/kg,mg/kg,无,一类用地,GB36600-2018,high,用地前缀:一类用地区; 场景:特殊绿地
"p,p'-滴滴伊",生态,OP,≤7mg/kg,mg/kg,无,二类用地,GB36600-2018,high,用地前缀:二类用地区; 场景:一般绿地
"p,p'-滴滴伊",生态,OP,≤2mg/kg,mg/kg,无,一类用地,GB36600-2018,high,用地前缀:一类用地区; 场景:特殊绿地
滴滴涕,生态,OP,≤6.7mg/kg,mg/kg,无,二类用地,GB36600-2018,high,用地前缀:二类用地区; 场景:一般绿地
滴滴涕,生态,OP,≤2mg/kg,mg/kg,无,一类用地,GB36600-2018,high,用地前缀:一类用地区; 场景:特殊绿地
敌敌畏,生态,OP,≤5mg/kg,mg/kg,无,二类用地,GB36600-2018,high,用地前缀:二类用地区; 场景:一般绿地
敌敌畏,生态,OP,≤1.8mg/kg,mg/kg,无,一类用地,GB36600-2018,high,用地前缀:一类用地区; 场景:特殊绿地
乐果,生态,OP,≤619mg/kg,mg/kg,无,二类用地,GB36600-2018,high,用地前缀:二类用地区; 场景:一般绿地
乐果,生态,OP,≤86mg/kg,mg/kg,无,一类用地,GB36600-2018,high,用地前缀:一类用地区; 场景:特殊绿地
硫丹,生态,OP,≤1687mg/kg,mg/kg,无,二类用地,GB36600-2018,high,用地前缀:二类用地区; 场景:一般绿地
硫丹,生态,OP,≤234mg/kg,mg/kg,无,一类用地,GB36600-2018,high,用地前缀:一类用地区; 场景:特殊绿地
七氯,生态,OP,≤0.37mg/kg,mg/kg,无,二类用地,GB36600-2018,high,用地前缀:二类用地区; 场景:一般绿地
七氯,生态,OP,≤0.13mg/kg,mg/kg,无,一类用地,GB36600-2018,high,用地前缀:一类用地区; 场景:特殊绿地
α-六六六,生态,OP,≤0.3mg/kg,mg/kg,无,二类用地,GB36600-2018,high,用地前缀:二类用地区; 场景:一般绿地
α-六六六,生态,OP,≤0.09mg/kg,mg/kg,无,一类用地,GB36600-2018,high,用地前缀:一类用地区; 场景:特殊绿地
β-六六六,生态,OP,≤0.92mg/kg,mg/kg,无,二类用地,GB36600-2018,high,用地前缀:二类用地区; 场景:一般绿地
β-六六六,生态,OP,≤0.32mg/kg,mg/kg,无,一类用地,GB36600-2018,high,用地前缀:一类用地区; 场景:特殊绿地
