ID,DOI,Source,Year,镉,铅,砷,铜,锌,镍,铬,汞,超标因子数,标签,id_DOI,id_Source,split_source,is_synthetic
2623,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.43,48.7,8.2,,,,,,1,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2624,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.36,25.48,7.6,,,,,,1,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2625,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.57,78.39,12.1,,,,,,1,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2626,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.5,1587.0,8.5,,,,,,2,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2627,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.11,3046.84,7.31,,,,21.1,,1,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2628,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.01,18.1,10.4,,,,31.8,,0,0,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2629,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.05,31.44,6.98,,,,23.3,,0,0,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2630,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.28,562.9,8.64,,,,,,1,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2631,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.13,745.13,5.819,,,,76.14,,1,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2632,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,3.51,761.02,27.32,,,,17.53,,2,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2633,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,2.39,455.58,,,,,356.23,,3,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2634,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.3,25.6,23.8,,,,68.0,,0,0,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2635,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,50.4,118.1,1295.0,,,,50.0,,3,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2636,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.54,173.8,,,,,19.29,,2,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2637,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,4.05,132.0,51.3,,,,,,3,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2638,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,163.91,429.0,,,,,107.74,,2,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2639,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,4.11,6.3,,,,,134.54,,1,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2640,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,104.54,580.8,,,,,209.56,,2,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2641,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.73,36.1,,,,,237.78,,1,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2642,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,9.05,75.2,6.0,,,,,,1,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2643,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,1.92,27.96,,,,,82.33,,1,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2644,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,9.41,9.74,22.81,,,,,,1,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2645,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.04,51.35,5.73,,,,,,0,0,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2646,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.09,241.08,6.49,,,,,,1,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2647,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.04,17.11,10.0,,,,,,0,0,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2648,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.04,15.83,7.33,,,,,,0,0,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2649,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.56,27.9,,,,,19.77,,1,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2650,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.16,25.24,6.9,,,,62.61,,0,0,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2651,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.12,61.2,,,,,63.14,,0,0,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2652,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,,23.3,5.68,,,,52.85,,0,0,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2653,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,12.53,1269.0,,,,,235.44,,2,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2654,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.47,36.5,,,,,32.61,,1,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2655,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.4,30.25,,,,,22.55,,1,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2656,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.99,7.52,,,,,82.99,,1,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2657,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,1.01,3271.0,10.88,,,,67.51,,2,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2658,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,4.92,37.1,,,,,161.59,,1,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2659,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,,127.5,9.3,,,,92.81,,1,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
