site_id,Latitude,Longitude
868,31.8157956533,119.981484713
869,30.5486282391,119.983464668
887,30.2926181461,120.079082643
888,30.8989639373,120.094516609
889,30.8989639373,120.094516609
890,30.6861410847,120.111468173
892,30.3333333333,120.133333333
894,30.2715483933,120.159533087
896,31.205688,120.207156
897,31.9260449098,120.291568008
898,30.4247392687,120.306592167
899,31.4988097327,120.318583288
900,31.4988097327,120.3185833
901,31.531337,120.340332
903,31.7091084776,120.498319668
904,31.5301506132,120.552491533
905,31.8811405363,120.561553639
906,31.8811405363,120.561553639
907,30.6363111877,120.571543155
908,31.3019328766,120.578471786
909,31.3035640744,120.59241223
910,31.3035640744,120.59241223
911,31.341831301,120.623454973
912,31.2682614458,120.638507519
914,31.1446441905,120.651567175
915,30.5179237698,120.686565067
916,30.5179237698,120.686565067
917,30.7702072142,120.715437056
918,31.3304431437,120.729889713
919,31.2800418908,120.742213028
920,31.6595382767,120.759495887
921,31.6595382767,120.759495887
922,31.6595382767,120.759495887
923,30.7509748309,120.763551826
924,30.7509748309,120.763551826
925,30.7515468133,120.789610052
926,31.9865494312,120.9015917
927,31.9865494312,120.901591739
928,30.8371221938,120.932510606
929,30.5318728945,120.952445263
930,31.3908634251,120.987452498
931,31.3908634251,120.987452498
934,31.155454318,121.130553105
936,31.464599353,121.135595294
937,31.0371351765,121.234479596
939,31.283333,121.266667
940,31.3801553397,121.272595058
941,31.0726,121.322562
942,31.4910277778,121.324694444
943,31.4919638889,121.326405556
944,31.4950277778,121.331263889
947,31.4754722222,121.334833333
949,31.1333333333,121.35
950,31.1,121.36
951,31.4011376164,121.362304338
952,31.2741558663,121.370230986
953,31.0363941136,121.375347105
954,31.1188425801,121.388611934
955,31.6285699844,121.403556863
956,31.6285699844,121.403556863
957,31.2549733683,121.403569349
958,31.0718745829,121.407140922
959,31.1415550228,121.421193834
960,31.4264864582,121.428218852
961,31.2268479682,121.430454375
962,31.4230700625,121.43639399
963,31.1945567728,121.443396353
964,31.0452130027,121.461447982
965,31.41,121.48
968,31.2359290423,121.48053886
969,31.2333333333,121.483333333
970,31.2372471521,121.491585593
972,31.2273482924,121.550454607
973,31.2151954707,121.716810367
976,30.865465177,121.812320095
1168,36.27209334595373,114.82285656563306
1204,37.34301984452147,114.6072687829078
1218,30.13629992125776,96.81556781954032
1248,36.942312383120594,95.696879238363
1347,45.6833333333333,126.616666666667
1348,45.6833333333333,126.616666666667
1349,45.6833333333333,126.616666666667
1350,45.6833333333333,126.616666666667
1351,45.6833333333333,126.616666666667
1352,45.6833333333333,126.616666666667
1353,45.6833333333333,126.616666666667
1354,45.6833333333333,126.616666666667
1355,45.6833333333333,126.616666666667
1356,45.6833333333333,126.616666666667
1413,28.2,113.08
