DOI,Source,Latitude,Longitude,Province,Pollution_Type,SoilpH,pH,OC_pct,Sum_PAH_ngg,BaP_ngg,SumOCP_ngg,SumDDTs_ngg,SumPCB_ngg,SumHCHs_ngg,SumPAE_ugkg,SumPBDE_ngg,SumPFAS_ngg,TPH_ngg,HMWPAH_ngg,LMWPAH_ngg,标签,id_DOI,id_Source,split_source,is_synthetic,SoilpH__missing,pH__missing,Sum_PAH_ngg__missing,BaP_ngg__missing,SumOCP_ngg__missing,SumDDTs_ngg__missing,SumPCB_ngg__missing,SumHCHs_ngg__missing,SumPAE_ugkg__missing,SumPBDE_ngg__missing,SumPFAS_ngg__missing,TPH_ngg__missing,HMWPAH_ngg__missing,LMWPAH_ngg__missing
10.1038/s41598-017-02999-0,Syed2017_SciRep_ChineseForestPAH,29.58575,102.025433,四川,OP,7.712221755315833,5.54,19.05,232.566564313263,6.403354800854857,21254.711479166668,529.6690931682649,385.7381897217854,30.429689526353183,2050.0,8.537,9.44,4933000.0,54.7,45.84,0,10.1038/s41598-017-02999-0,Syed2017_SciRep_ChineseForestPAH,real_model_ready,False,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10.1038/s41598-017-02999-0,Syed2017_SciRep_ChineseForestPAH,29.572555555555557,102.00097222222222,四川,OP,7.712221755315833,5.54,19.05,150.83302695680194,6.483460156025547,21254.711479166668,529.6690931682649,385.7381897217854,30.429689526353183,2050.0,8.537,9.44,4933000.0,54.7,45.84,0,10.1038/s41598-017-02999-0,Syed2017_SciRep_ChineseForestPAH,real_model_ready,False,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10.1038/s41598-017-02999-0,Syed2017_SciRep_ChineseForestPAH,29.573417,101.988817,四川,OP,7.712221755315833,5.54,19.05,87.47896914773813,2.2810047258836903,21254.711479166668,529.6690931682649,386.1631897217854,30.429689526353183,2050.0,8.537,9.44,4933000.0,54.7,45.84,0,10.1038/s41598-017-02999-0,Syed2017_SciRep_ChineseForestPAH,real_model_ready,False,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10.1038/s41598-017-02999-0,Syed2017_SciRep_ChineseForestPAH,44.191111111111105,118.70666666666666,内蒙古,OP,7.712221755315833,5.54,19.05,215.18317686421207,2.488451178805105,21254.711479166668,529.6690931682649,386.1631897217854,30.429689526353183,2050.0,8.537,9.44,4933000.0,54.7,45.84,0,10.1038/s41598-017-02999-0,Syed2017_SciRep_ChineseForestPAH,real_model_ready,False,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10.1038/s41598-017-02999-0,Syed2017_SciRep_ChineseForestPAH,44.19725,118.71813888888887,内蒙古,OP,7.712221755315833,5.54,19.05,47.12718993565387,0.4595235250414046,21254.711479166668,529.6690931682649,386.1631897217854,30.429689526353183,2050.0,8.537,9.44,4933000.0,54.7,45.84,0,10.1038/s41598-017-02999-0,Syed2017_SciRep_ChineseForestPAH,real_model_ready,False,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10.1038/s41598-017-02999-0,Syed2017_SciRep_ChineseForestPAH,44.26869444444444,118.41411111111113,内蒙古,OP,7.712221755315833,5.54,19.05,110.35947265345736,2.078222916997803,21254.711479166668,529.6690931682649,386.1631897217854,30.429689526353183,2050.0,8.537,9.44,4933000.0,54.7,45.84,0,10.1038/s41598-017-02999-0,Syed2017_SciRep_ChineseForestPAH,real_model_ready,False,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10.1038/s41598-017-02999-0,Syed2017_SciRep_ChineseForestPAH,33.68697222222222,105.68211111111113,陕西,OP,7.712221755315833,5.54,19.05,177.63615520840074,3.3633786546729016,21254.711479166668,529.6690931682649,386.1631897217854,30.429689526353183,2050.0,8.537,9.44,4933000.0,54.7,45.84,0,10.1038/s41598-017-02999-0,Syed2017_SciRep_ChineseForestPAH,real_model_ready,False,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10.1038/s41598-017-02999-0,Syed2017_SciRep_ChineseForestPAH,37.215,114.62025,内蒙古,OP,7.712221755315833,5.54,19.05,92.34586687608598,0.2051877203313315,21254.711479166668,529.6690931682649,386.1631897217854,30.429689526353183,2050.0,8.537,9.44,4933000.0,54.7,45.84,0,10.1038/s41598-017-02999-0,Syed2017_SciRep_ChineseForestPAH,real_model_ready,False,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10.1038/s41598-017-02999-0,Syed2017_SciRep_ChineseForestPAH,34.693,114.57821666666666,河南,OP,7.712221755315833,5.54,19.05,712.3322923137607,69.12460341828792,21254.711479166668,529.6690931682649,385.4681897217854,30.429689526353183,2050.0,8.537,9.44,4933000.0,54.7,45.84,1,10.1038/s41598-017-02999-0,Syed2017_SciRep_ChineseForestPAH,real_model_ready,False,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10.1038/s41598-017-02999-0,Syed2017_SciRep_ChineseForestPAH,33.989,114.56648333333334,河南,OP,7.712221755315833,5.54,19.05,426.5948996200112,5.939417607025542,21254.711479166668,529.6690931682649,386.4981897217854,30.429689526353183,2050.0,8.537,9.44,4933000.0,54.7,45.84,0,10.1038/s41598-017-02999-0,Syed2017_SciRep_ChineseForestPAH,real_model_ready,False,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
