SoilpH,pH,OC_pct,Sum_PAH_ngg,BaP_ngg,SumOCP_ngg,SumDDTs_ngg,SumPCB_ngg,SumHCHs_ngg,SumPAE_ugkg,SumPBDE_ngg,SumPFAS_ngg,TPH_ngg,HMWPAH_ngg,LMWPAH_ngg,标签,SoilpH__missing,pH__missing,Sum_PAH_ngg__missing,BaP_ngg__missing,SumOCP_ngg__missing,SumDDTs_ngg__missing,SumPCB_ngg__missing,SumHCHs_ngg__missing,SumPAE_ugkg__missing,SumPBDE_ngg__missing,SumPFAS_ngg__missing,TPH_ngg__missing,HMWPAH_ngg__missing,LMWPAH_ngg__missing
6.837264759962238,5.54,,149.8,1667.640569424486,104.36750726041244,13.441373939160297,47.39849624471043,5.62995441690365,2050.0,8.537,9.44,4933000.0,54.7,45.84,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6.720972222222223,5.54,,406.0,1667.640569424486,112.32332905527636,40.75405913091942,46.041581624213,5.837615580811436,2050.0,8.537,9.44,4933000.0,54.7,45.84,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6.837264759962238,5.54,,174.0,1667.640569424486,104.36750726041244,13.441373939160297,47.39849624471043,5.62995441690365,2050.0,8.537,9.44,4933000.0,54.7,45.84,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6.837264759962238,5.54,,52.6,1667.640569424486,104.36750726041244,13.441373939160297,47.39849624471043,5.62995441690365,2050.0,8.537,9.44,4933000.0,54.7,45.84,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6.837264759962238,5.54,,311.19,1667.640569424486,104.36750726041244,13.441373939160297,47.39849624471043,5.947605926443679,2050.0,8.537,9.44,4933000.0,54.7,45.84,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6.722511186921375,5.54,,928.16,1667.640569424486,112.32332905527636,39.029679180860725,49.97347440199078,5.834386892132474,2050.0,8.537,9.44,4933000.0,54.7,45.84,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6.837264759962238,5.54,,36.08,1667.640569424486,104.36750726041244,13.441373939160297,47.39849624471043,5.62995441690365,2050.0,8.537,9.44,4933000.0,54.7,45.84,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6.757532632999807,5.54,,368.0,1667.640569424486,104.36750726041244,12.740995215870532,47.39849624471043,5.972596231286924,2050.0,8.537,9.44,4933000.0,54.7,45.84,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6.722511186921375,5.54,,877.23,1667.640569424486,112.32332905527636,39.029679180860725,49.97347440199078,5.834386892132474,2050.0,8.537,9.44,4933000.0,54.7,45.84,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6.7461576329998065,5.54,,740.21,1667.640569424486,104.36750726041244,11.30206905390373,47.39849624471043,5.812138243902128,2050.0,8.537,9.44,4933000.0,54.7,45.84,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6.837264759962238,5.54,,118.0,1667.640569424486,104.36750726041244,13.441373939160297,47.39849624471043,5.62995441690365,2050.0,8.537,9.44,4933000.0,54.7,45.84,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6.837264759962238,5.54,,128.0,1667.640569424486,104.36750726041244,13.441373939160297,47.39849624471043,5.62995441690365,2050.0,8.537,9.44,4933000.0,54.7,45.84,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7.781243467875049,5.54,,941.27,219.6812853784296,23327.923979166662,557.6147345459494,651.9339501384522,25.040902449699814,2050.0,8.537,9.44,4933000.0,54.7,45.84,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7.781243467875049,5.54,,1081.22,219.6812853784296,23327.923979166662,557.6147345459494,651.9339501384522,24.768170129543073,2050.0,8.537,9.44,4933000.0,54.7,45.84,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6.757532632999807,5.54,,613.1,1667.640569424486,104.36750726041244,11.30206905390373,47.39849624471043,5.911490210094597,2050.0,8.537,9.44,4933000.0,54.7,45.84,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6.837264759962238,5.54,,316.5,1667.640569424486,104.36750726041244,13.441373939160297,47.39849624471043,5.947605926443679,2050.0,8.537,9.44,4933000.0,54.7,45.84,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6.837264759962238,5.54,,328.8,1667.640569424486,104.36750726041244,13.441373939160297,47.39849624471043,5.947605926443679,2050.0,8.537,9.44,4933000.0,54.7,45.84,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6.757532632999807,5.54,,611.28,1667.640569424486,104.36750726041244,11.30206905390373,47.39849624471043,5.959375230791633,2050.0,8.537,9.44,4933000.0,54.7,45.84,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6.837264759962238,5.54,,303.0,1667.640569424486,104.36750726041244,13.441373939160297,47.39849624471043,5.947605926443679,2050.0,8.537,9.44,4933000.0,54.7,45.84,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6.758282632999807,5.54,,705.0,1667.640569424486,104.36750726041244,11.30206905390373,47.39849624471043,5.812138243902128,2050.0,8.537,9.44,4933000.0,54.7,45.84,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6.837264759962238,5.54,,271.0,1667.640569424486,104.36750726041244,13.441373939160297,47.39849624471043,5.8631143240727415,2050.0,8.537,9.44,4933000.0,54.7,45.84,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6.757532632999807,5.54,,336.4,1667.640569424486,104.36750726041244,12.407406557819462,47.39849624471043,5.947605926443679,2050.0,8.537,9.44,4933000.0,54.7,45.84,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6.439847103863907,5.54,,3917.0,1628.0469342323377,139.09527691553018,82.90619998807507,45.22569423870903,7.629484243102849,2050.0,8.537,9.44,4933000.0,54.7,45.84,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6.837264759962238,5.54,,116.0,1667.640569424486,104.36750726041244,13.441373939160297,47.39849624471043,5.62995441690365,2050.0,8.537,9.44,4933000.0,54.7,45.84,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6.3758859577922085,5.54,,1228.1,1620.694422732843,63.08487522370304,70.17035417353394,51.45433060462972,5.881890234763863,2050.0,8.537,9.44,4933000.0,54.7,45.84,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
